Age;Sexe;Nationalite;Quartier
63;M;F;GARE
63;M;I;NEUDORF/WEIMERSHOF
63;F;L;LIMPERTSBERG
63;F;L;BONNEVOIE-SUD
63;F;L;VILLE-HAUTE
63;M;L;HOLLERICH
63;M;P;NEUDORF/WEIMERSHOF
63;M;P;CENTS
63;M;L;KIRCHBERG
63;M;P;BONNEVOIE-SUD
63;M;L;NEUDORF/WEIMERSHOF
63;F;P;BONNEVOIE-SUD
63;F;L;BONNEVOIE-SUD
63;F;L;CESSANGE
63;M;B;LIMPERTSBERG
63;M;L;WEIMERSKIRCH
63;M;L;BONNEVOIE-SUD
63;F;L;CENTS
63;F;L;GASPERICH
63;F;GR;CENTS
63;M;B;BONNEVOIE-SUD
63;F;L;BEGGEN
63;M;B;GARE
63;M;L;BONNEVOIE-SUD
63;F;L;LIMPERTSBERG
63;M;L,P;BONNEVOIE-SUD
63;F;F;HOLLERICH
63;M;L;BONNEVOIE-SUD
63;M;L;BEGGEN
63;F;P;PFAFFENTHAL
63;M;P;MERL
63;M;PHL;GARE
63;M;F;MERL
63;M;L,COG;GARE
63;F;L;ROLLINGERGRUND/BELAIR-NORD
63;M;BIH;GASPERICH
63;M;IRL;MERL
62;F;P;HAMM
62;F;L;ROLLINGERGRUND/BELAIR-NORD
62;F;P;GASPERICH
62;F;L;CESSANGE
62;M;L;BONNEVOIE-SUD
62;F;P;BONNEVOIE-SUD
62;M;B;KIRCHBERG
62;F;L;CENTS
62;M;GB;BONNEVOIE-SUD
62;F;L;BELAIR
62;M;P;LIMPERTSBERG
62;M;F;HOLLERICH
62;M;D;GARE
62;F;L;NEUDORF/WEIMERSHOF
62;F;L;HOLLERICH
62;F;D;BEGGEN
62;F;L;GRUND
62;F;L;LIMPERTSBERG
62;F;L;WEIMERSKIRCH
62;F;L;PFAFFENTHAL
62;F;L;KIRCHBERG
62;M;P;NEUDORF/WEIMERSHOF
62;M;P;BONNEVOIE-SUD
62;F;F;DOMMELDANGE
62;F;L;LIMPERTSBERG
62;F;I;LIMPERTSBERG
62;M;P;GASPERICH
62;M;F;LIMPERTSBERG
62;F;P;BELAIR
62;F;LVA;BELAIR
62;F;L;BONNEVOIE-SUD
62;M;USA;GRUND
62;M;P;CLAUSEN
62;M;F;WEIMERSKIRCH
62;F;D;BELAIR
62;M;L;HOLLERICH
62;F;D;ROLLINGERGRUND/BELAIR-NORD
62;F;F;HOLLERICH
62;M;L;LIMPERTSBERG
62;F;F;BONNEVOIE-SUD
62;M;D;LIMPERTSBERG
62;F;L;CENTS
62;F;P;EICH
62;F;NL;KIRCHBERG
62;F;F;GARE
62;F;L;CESSANGE
62;F;P;GARE
62;F;L;GARE
62;M;P;HOLLERICH
62;M;I;BONNEVOIE-SUD
63;F;GR;BONNEVOIE-NORD/VERLORENKOST
63;M;F;MERL
63;F;TN;BELAIR
63;F;I;LIMPERTSBERG
63;F;I;CENTS
63;M;I;GARE
63;M;I;VILLE-HAUTE
63;M;L;LIMPERTSBERG
63;F;L;CESSANGE
63;M;F;KIRCHBERG
63;F;F;CESSANGE
63;M;B;BELAIR
63;M;F;DOMMELDANGE
63;M;P;MUEHLENBACH
63;M;AUS;MERL
63;F;D;LIMPERTSBERG
63;M;L;CENTS
63;F;P;BONNEVOIE-SUD
63;F;P;MERL
63;F;L;CENTS
63;M;L,I;GARE
63;F;P;EICH
63;M;L;KIRCHBERG
63;F;IRL;DOMMELDANGE
63;F;I;BONNEVOIE-SUD
63;F;I;BONNEVOIE-SUD
63;F;L;CENTS
63;F;L;ROLLINGERGRUND/BELAIR-NORD
63;F;L;GASPERICH
63;M;L;ROLLINGERGRUND/BELAIR-NORD
63;M;D;KIRCHBERG
63;F;L;NEUDORF/WEIMERSHOF
63;M;P;HAMM
63;F;L;CESSANGE
63;M;P;PULVERMUEHL
63;M;GB;KIRCHBERG
63;M;D;LIMPERTSBERG
63;F;P;GASPERICH
63;M;L;BONNEVOIE-SUD
63;M;P;PFAFFENTHAL
63;F;L;BONNEVOIE-SUD
63;M;L;MERL
63;F;F;BONNEVOIE-SUD
63;F;P;BONNEVOIE-SUD
63;F;L;CESSANGE
63;F;L;CENTS
63;M;P;LIMPERTSBERG
63;M;L;LIMPERTSBERG
63;F;F;CENTS
62;F;F;BONNEVOIE-SUD
62;F;P;EICH
62;M;F;GARE
62;F;TJ;BONNEVOIE-SUD
62;M;I;GRUND
62;M;L;GARE
62;F;L;BELAIR
62;F;L;GARE
62;F;I;MERL
62;M;P;GARE
62;M;GR;DOMMELDANGE
62;M;L;BONNEVOIE-NORD/VERLORENKOST
62;F;DK;KIRCHBERG
62;F;L;CENTS
62;M;NL;KIRCHBERG
62;M;F;GARE
62;F;R;NEUDORF/WEIMERSHOF
62;M;P;WEIMERSKIRCH
62;F;L;EICH
62;F;L;BONNEVOIE-SUD
62;M;L;BELAIR
62;M;F;BONNEVOIE-SUD
62;M;P;GASPERICH
62;F;L;DOMMELDANGE
62;M;L;CENTS
62;M;E;LIMPERTSBERG
62;F;L;WEIMERSKIRCH
62;M;L;BELAIR
62;M;B;MERL
