Age;Sexe;Nationalite;Quartier,,,
82;M;E;HOLLERICH,,,
84;M;L;BONNEVOIE-SUD,,,
83;M;L;BEGGEN,,,
81;M;L;GASPERICH,,,
81;F;L;VILLE-HAUTE,,,
84;M;L;BEGGEN,,,
84;F;I;GASPERICH,,,
82;M;L;VILLE-HAUTE,,,
81;F;L;BELAIR,,,
81;F;F;CESSANGE,,,
81;F;L;CLAUSEN,,,
81;F;I;CESSANGE,,,
83;F;P;BONNEVOIE-SUD,,,
83;F;P;BONNEVOIE-SUD,,,
82;F;L;LIMPERTSBERG,,,
82;M;L;CESSANGE,,,
82;F;L;BELAIR,,,
82;F;L;VILLE-HAUTE,,,
81;F;L;KIRCHBERG,,,
83;F;L;GRUND,,,
83;F;L;CENTS,,,
82;F;P;BONNEVOIE-SUD,,,
82;F;D;GASPERICH,,,
82;M;L;GARE,,,
82;F;L;HAMM,,,
81;M;UKR;ROLLINGERGRUND/BELAIR-NORD,,,
82;F;L;MERL,,,
82;F;D;HOLLERICH,,,
82;F;L;CENTS,,,
82;F;L;HOLLERICH,,,
82;F;P;GRUND,,,
82;F;L;NEUDORF/WEIMERSHOF,,,
82;F;A;BELAIR,,,
81;F;L;GARE,,,
81;M;L;CENTS,,,
82;F;L;BELAIR,,,
82;M;L;HOLLERICH,,,
81;M;L;BEGGEN,,,
81;F;L;CESSANGE,,,
83;F;D;VILLE-HAUTE,,,
82;F;L;LIMPERTSBERG,,,
84;F;L;VILLE-HAUTE,,,
83;M;L;HOLLERICH,,,
84;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
83;F;P;HOLLERICH,,,
83;M;L;GASPERICH,,,
84;F;L;LIMPERTSBERG,,,
84;F;S,F;ROLLINGERGRUND/BELAIR-NORD,,
84;F;L;BONNEVOIE-SUD,,,
83;M;F;EICH,,,
83;M;P;BONNEVOIE-SUD,,,
83;F;L;CENTS,,,
78;F;BIH;GARE,,,
81;F;L;BONNEVOIE-SUD,,,
81;F;L;GARE,,,
79;M;L;BELAIR,,,
79;F;L;BELAIR,,,
79;M;L;NEUDORF/WEIMERSHOF,,,
81;M;L;BEGGEN,,,
78;M;L;CENTS,,,
80;F;L;CENTS,,,
80;F;L;BONNEVOIE-SUD,,,
80;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
80;M;L,IR;MERL,,
79;F;L;CENTS,,,
81;F;P;BELAIR,,,
81;M;L;NEUDORF/WEIMERSHOF,,,
81;F;D;BELAIR,,,
78;M;L;NEUDORF/WEIMERSHOF,,,
80;F;P;DOMMELDANGE,,,
79;F;CV;GASPERICH,,,
79;M;L;BELAIR,,,
79;F;L;GASPERICH,,,
81;F;D;BEGGEN,,,
81;M;L;HOLLERICH,,,
81;M;B;KIRCHBERG,,,
80;M;L;VILLE-HAUTE,,,
80;F;L;BONNEVOIE-SUD,,,
80;F;L;LIMPERTSBERG,,,
80;M;D;DOMMELDANGE,,,
81;M;L;GARE,,,
80;F;NL;DOMMELDANGE,,,
80;F;L;ROLLINGERGRUND/BELAIR-NORD,,,
79;M;L;CENTS,,,
81;F;L;BONNEVOIE-SUD,,,
80;M;L;KIRCHBERG,,,
80;F;L;GARE,,,
80;F;L;LIMPERTSBERG,,,
79;M;L;GARE,,,
79;M;P;EICH,,,
80;F;L;BELAIR,,,
79;F;R;BONNEVOIE-NORD/VERLORENKOST,,,
81;F;L;BONNEVOIE-SUD,,,
79;F;F;HOLLERICH,,,
