DATAFLOW,COUNTRY: Country of residence,REGION: Tourist region,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2013,383,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2014,331,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2015,419,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2016,345,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2017,324,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2018,226,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2019,206,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2020,92,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL08: Denmark,R05: Ardennes,A: Annual,2021,171,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2011,1210,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2012,1252,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2013,1217,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2014,1370,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2015,1413,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2016,1171,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2017,1197,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2018,1082,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2019,1054,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2020,601,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SSL21: Poland,R08: Southern region,A: Annual,2021,819,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2011,2072,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2012,3874,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2013,7956,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2014,9448,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2015,10411,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2016,7013,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2017,6205,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2018,5440,,,,,,,,0: Zero
LU1:DF_D5301(1.0),SL04: Turkey,R08: Southern region,A: Annual,2019,4922,,,,,,,,0: Zero
