number,value,datetime_start,datetime_complete,duration,params_alpha,params_max_iter,params_n_estimators,state
74,20.07307779483177,2023-09-16 09:41:39.027101,2023-09-16 09:41:45.787258,0 days 00:00:06.760157,7.784507429139248,2534,0.2152118497623175,COMPLETE
75,19.160156536940594,2023-09-16 09:41:45.794579,2023-09-16 09:42:06.173727,0 days 00:00:20.379148,2.681582423865164,2267,0.26667795624065826,COMPLETE
76,21.209122977536634,2023-09-16 09:42:06.180424,2023-09-16 09:42:15.398622,0 days 00:00:09.218198,13.299980902333955,3007,0.4128157701132999,COMPLETE
77,27.81967787367653,2023-09-16 09:42:15.398622,2023-09-16 09:42:44.305027,0 days 00:00:28.906405,0.01205040083867237,826,0.34685256134763087,COMPLETE
78,19.885585058702155,2023-09-16 09:42:44.321151,2023-09-16 09:42:52.625068,0 days 00:00:08.303917,6.100865312172891,1924,0.3287785762488441,COMPLETE
79,20.79130973288602,2023-09-16 09:42:52.625068,2023-09-16 09:42:59.061539,0 days 00:00:06.436471,10.257665152353148,4563,0.5016093343149286,COMPLETE
80,22.38635280554385,2023-09-16 09:42:59.064715,2023-09-16 09:43:03.517125,0 days 00:00:04.452410,15.498654967001734,1372,0.5860252524395462,COMPLETE
81,19.225215418313404,2023-09-16 09:43:03.524688,2023-09-16 09:43:19.263582,0 days 00:00:15.738894,1.929282995199541,758,0.010431316736813051,COMPLETE
82,19.618449924798124,2023-09-16 09:43:19.263582,2023-09-16 09:43:26.607191,0 days 00:00:07.343609,4.8984461404882165,547,0.12460561670599608,COMPLETE
83,20.099864388840437,2023-09-16 09:43:26.607191,2023-09-16 09:43:33.097180,0 days 00:00:06.489989,8.346652722729255,667,0.16362863984441897,COMPLETE
84,19.356583623063283,2023-09-16 09:43:33.097180,2023-09-16 09:43:41.826081,0 days 00:00:08.728901,3.2546185751982994,992,0.0929962129836164,COMPLETE
85,19.789870545974065,2023-09-16 09:43:41.826081,2023-09-16 09:43:48.569706,0 days 00:00:06.743625,5.686181845416227,2385,0.2107022060828233,COMPLETE
86,18.943023397047824,2023-09-16 09:43:48.573544,2023-09-16 09:43:55.541961,0 days 00:00:06.968417,2.002288308560367,1176,0.2834320385696855,COMPLETE
87,18.9111926369031,2023-09-16 09:43:55.541961,2023-09-16 09:44:02.589597,0 days 00:00:07.047636,1.8415100677678689,1459,0.25953570025781136,COMPLETE
88,20.634558631487362,2023-09-16 09:44:02.589597,2023-09-16 09:44:07.255222,0 days 00:00:04.665625,13.226328492283594,1143,0.18951506417970748,COMPLETE
89,20.221893475334287,2023-09-16 09:44:07.255222,2023-09-16 09:44:12.749011,0 days 00:00:05.493789,8.887183757297183,1556,0.23757859464109798,COMPLETE
90,18.90567461339233,2023-09-16 09:44:12.749011,2023-09-16 09:44:20.572593,0 days 00:00:07.823582,1.9036494811769036,1271,0.2936010178198103,COMPLETE
91,18.959908241924545,2023-09-16 09:44:20.572593,2023-09-16 09:44:27.233546,0 days 00:00:06.660953,2.055370522771671,1460,0.2838110879812679,COMPLETE
92,18.794482189715065,2023-09-16 09:44:27.233546,2023-09-16 09:44:33.610096,0 days 00:00:06.376550,1.5059680774778421,1457,0.28771601687864007,COMPLETE
93,19.60407542435882,2023-09-16 09:44:33.617794,2023-09-16 09:44:40.210749,0 days 00:00:06.592955,4.424918971695991,1310,0.2780770069943708,COMPLETE
94,19.98584371090014,2023-09-16 09:44:40.218941,2023-09-16 09:44:45.841963,0 days 00:00:05.623022,6.822178217634636,1470,0.3016173759124345,COMPLETE
95,19.06587015812234,2023-09-16 09:44:45.850000,2023-09-16 09:44:52.643774,0 days 00:00:06.793774,2.36682373059021,1131,0.26183828704267736,COMPLETE
96,20.780358257903202,2023-09-16 09:44:52.643774,2023-09-16 09:44:57.171080,0 days 00:00:04.527306,11.858326611044658,1656,0.34255949950056286,COMPLETE
97,18.766878909533467,2023-09-16 09:44:57.171080,2023-09-16 09:45:03.109295,0 days 00:00:05.938215,1.5971665784988311,1212,0.373681354091784,COMPLETE
98,20.47282537478224,2023-09-16 09:45:03.109295,2023-09-16 09:45:08.215476,0 days 00:00:05.106181,9.690505564991566,1209,0.3651721647008575,COMPLETE
99,19.637265018049046,2023-09-16 09:45:08.224017,2023-09-16 09:45:14.728572,0 days 00:00:06.504555,4.587223342015278,1044,0.3850098068810219,COMPLETE
100,18.861197419660343,2023-09-16 09:45:14.736717,2023-09-16 09:45:21.252510,0 days 00:00:06.515793,1.7432746658896403,852,0.286087882136157,COMPLETE
101,19.010824299888604,2023-09-16 09:45:21.252510,2023-09-16 09:45:28.309001,0 days 00:00:07.056491,2.215142693068863,901,0.28731766181028195,COMPLETE
102,20.011641837908943,2023-09-16 09:45:28.309001,2023-09-16 09:45:35.043806,0 days 00:00:06.734805,6.942569617431439,1434,0.3250531232209526,COMPLETE
103,22.83283095149337,2023-09-16 09:45:35.043806,2023-09-16 09:45:54.688393,0 days 00:00:19.644587,0.04969329538837797,1348,0.2486563098124327,COMPLETE
104,19.55450094742738,2023-09-16 09:45:54.688776,2023-09-16 09:46:11.474043,0 days 00:00:16.785267,4.121198122519463,616,0.30666917592841403,COMPLETE
105,18.824449550336364,2023-09-16 09:46:11.474043,2023-09-16 09:46:18.871240,0 days 00:00:07.397197,1.740579274674313,1187,0.356289302949757,COMPLETE
106,19.98158586647238,2023-09-16 09:46:18.871240,2023-09-16 09:46:34.784850,0 days 00:00:15.913610,6.679422036550463,865,0.35473781243363,COMPLETE
107,18.762771736270526,2023-09-16 09:46:34.784850,2023-09-16 09:46:42.228469,0 days 00:00:07.443619,1.594159187585037,784,0.39615308978395847,COMPLETE
108,20.29967747742304,2023-09-16 09:46:42.236483,2023-09-16 09:46:48.286631,0 days 00:00:06.050148,8.560876316565931,1045,0.3763606316441296,COMPLETE
109,19.608985827482222,2023-09-16 09:46:48.286631,2023-09-16 09:46:55.408599,0 days 00:00:07.121968,4.447963987993276,784,0.40799114224822747,COMPLETE
110,20.805331364083347,2023-09-16 09:46:55.408599,2023-09-16 09:47:00.279308,0 days 00:00:04.870709,10.846599708214567,636,0.44224232976781225,COMPLETE
111,19.039118547620003,2023-09-16 09:47:00.279472,2023-09-16 09:47:07.070951,0 days 00:00:06.791479,2.2965155353323947,1186,0.32269841920023784,COMPLETE
112,18.695005528706034,2023-09-16 09:47:07.070951,2023-09-16 09:47:13.757533,0 days 00:00:06.686582,0.847763101044489,958,0.3502291026769856,COMPLETE
113,19.897585741326317,2023-09-16 09:47:13.757533,2023-09-16 09:47:19.770097,0 days 00:00:06.012564,6.103918026209656,994,0.39522602922389927,COMPLETE
114,18.753948601008386,2023-09-16 09:47:19.770097,2023-09-16 09:47:26.652792,0 days 00:00:06.882695,1.5197881487123475,880,0.34591232022883606,COMPLETE
115,19.435635283164245,2023-09-16 09:47:26.652792,2023-09-16 09:47:34.332532,0 days 00:00:07.679740,0.35447517151854213,930,0.3540801676000421,COMPLETE
116,19.508699492297787,2023-09-16 09:47:34.332532,2023-09-16 09:47:40.902035,0 days 00:00:06.569503,3.8952321621648114,1270,0.3732193611512179,COMPLETE
117,19.84144225484369,2023-09-16 09:47:40.902035,2023-09-16 09:47:46.696820,0 days 00:00:05.794785,5.757528701551323,802,0.4252827106296775,COMPLETE
118,32.72940902947421,2023-09-16 09:47:46.696820,2023-09-16 09:48:26.161790,0 days 00:00:39.464970,0.004507713208710129,1092,0.3414853855669728,COMPLETE
119,20.32173437252975,2023-09-16 09:48:26.161790,2023-09-16 09:48:31.110048,0 days 00:00:04.948258,9.021889195937565,600,0.32600249616459476,COMPLETE
120,19.463313086747572,2023-09-16 09:48:31.110048,2023-09-16 09:48:37.464207,0 days 00:00:06.354159,3.6882384244340427,973,0.39641068806282864,COMPLETE
121,18.812336970468856,2023-09-16 09:48:37.464207,2023-09-16 09:48:44.556200,0 days 00:00:07.091993,1.6296514343480055,868,0.3065840368080567,COMPLETE
122,18.825595289500704,2023-09-16 09:48:44.556200,2023-09-16 09:48:51.289226,0 days 00:00:06.733026,1.6824323890920967,729,0.3099729875913429,COMPLETE
123,19.964127833971997,2023-09-16 09:48:51.289226,2023-09-16 09:48:57.499082,0 days 00:00:06.209856,6.6439391282840035,732,0.3157789175990583,COMPLETE
124,19.581054428919312,2023-09-16 09:48:57.499082,2023-09-16 09:49:04.042438,0 days 00:00:06.543356,4.268072183470827,864,0.3617342869432177,COMPLETE
125,22.73976569595458,2023-09-16 09:49:04.050499,2023-09-16 09:49:16.906303,0 days 00:00:12.855804,0.06078748381125232,725,0.34068357269811333,COMPLETE
126,20.088546504245347,2023-09-16 09:49:16.906303,2023-09-16 09:49:22.564618,0 days 00:00:05.658315,7.168740948245112,503,0.41349788536747295,COMPLETE
127,19.46986891832428,2023-09-16 09:49:22.572729,2023-09-16 09:49:29.188788,0 days 00:00:06.616059,3.7112022450162305,920,0.3852303643994215,COMPLETE
128,18.68853793739222,2023-09-16 09:49:29.188788,2023-09-16 09:49:34.850208,0 days 00:00:05.661420,1.377902716137065,831,0.47187954829666456,COMPLETE
129,20.973125130162064,2023-09-16 09:49:34.856997,2023-09-16 09:49:39.289737,0 days 00:00:04.432740,11.604725038501831,624,0.45024851206676386,COMPLETE
130,20.392642499866355,2023-09-16 09:49:39.291586,2023-09-16 09:49:45.001823,0 days 00:00:05.710237,8.612669156981791,1074,0.4593207776888226,COMPLETE
131,19.04177227783436,2023-09-16 09:49:45.001823,2023-09-16 09:49:51.822802,0 days 00:00:06.820979,2.1863945691308806,829,0.47516398496402223,COMPLETE
132,19.76902922899534,2023-09-16 09:49:51.822802,2023-09-16 09:49:57.627180,0 days 00:00:05.804378,5.372004179381001,715,0.5281712493398668,COMPLETE
133,18.620124309767114,2023-09-16 09:49:57.627180,2023-09-16 09:50:03.173706,0 days 00:00:05.546526,1.0636561993451297,950,0.42746039778477596,COMPLETE
134,18.782244359568715,2023-09-16 09:50:03.173706,2023-09-16 09:50:08.719618,0 days 00:00:05.545912,1.6186339316087617,971,0.43126388783735115,COMPLETE
135,18.755114447655522,2023-09-16 09:50:08.719618,2023-09-16 09:50:14.281184,0 days 00:00:05.561566,1.5508076748289765,1022,0.4423797509993477,COMPLETE
136,25.53785508238039,2023-09-16 09:50:14.281184,2023-09-16 09:50:16.493082,0 days 00:00:02.211898,33.516941743454325,971,0.4326546591801202,COMPLETE
137,24.090602764606064,2023-09-16 09:50:16.493082,2023-09-16 09:50:31.620792,0 days 00:00:15.127710,0.04431952295028774,1109,0.48729051755878494,COMPLETE
138,27.56533809162674,2023-09-16 09:50:31.620792,2023-09-16 09:50:33.422925,0 days 00:00:01.802133,46.92072810444254,1051,0.4176832243111678,COMPLETE
139,19.53256928194652,2023-09-16 09:50:33.422925,2023-09-16 09:50:43.711723,0 days 00:00:10.288798,4.035185164935669,930,0.3978386332991,COMPLETE
140,19.870968282935156,2023-09-16 09:50:43.719726,2023-09-16 09:50:52.896954,0 days 00:00:09.177228,5.910760818785416,1192,0.44334099481858164,COMPLETE
141,18.91399210162717,2023-09-16 09:50:52.896954,2023-09-16 09:51:00.134090,0 days 00:00:07.237136,1.8544299028706912,818,0.45764731395487407,COMPLETE
142,19.3412272693789,2023-09-16 09:51:00.142102,2023-09-16 09:51:08.300559,0 days 00:00:08.158457,3.152714970343687,1007,0.3822925135989087,COMPLETE
143,18.946148991214876,2023-09-16 09:51:08.308666,2023-09-16 09:51:15.869592,0 days 00:00:07.560926,1.8983394569729686,1135,0.48218095518427356,COMPLETE
144,21.092994089966645,2023-09-16 09:51:15.875812,2023-09-16 09:51:32.161401,0 days 00:00:16.285589,0.13629432918297746,776,0.43083953160610233,COMPLETE
145,19.678476699163696,2023-09-16 09:51:32.169486,2023-09-16 09:51:39.686761,0 days 00:00:07.517275,4.813734594452541,1353,0.36599851130233396,COMPLETE
146,20.306459984487066,2023-09-16 09:51:39.686761,2023-09-16 09:51:45.518856,0 days 00:00:05.832095,7.940987058826725,906,0.516774684297514,COMPLETE
147,19.475004108011795,2023-09-16 09:51:45.518856,2023-09-16 09:51:52.543620,0 days 00:00:07.024764,3.7516973645107967,3748,0.4068338974214192,COMPLETE
148,18.759795473565514,2023-09-16 09:51:52.543620,2023-09-16 09:51:59.312991,0 days 00:00:06.769371,1.5284538256978402,1239,0.3403908287807835,COMPLETE
149,19.90329289035916,2023-09-16 09:51:59.313886,2023-09-16 09:52:05.920259,0 days 00:00:06.606373,6.2013443924393155,1244,0.34095725809242106,COMPLETE
150,18.84757499072123,2023-09-16 09:52:05.920259,2023-09-16 09:52:13.102231,0 days 00:00:07.181972,1.7525036069446256,1030,0.30967457766506085,COMPLETE
151,18.96254277953718,2023-09-16 09:52:13.102231,2023-09-16 09:52:20.168646,0 days 00:00:07.066415,2.079439968537761,1802,0.3593430295733864,COMPLETE
152,19.48276958887436,2023-09-16 09:52:20.168646,2023-09-16 09:52:27.357439,0 days 00:00:07.188793,3.763978787500936,1141,0.3274878164024562,COMPLETE
153,20.558222477681703,2023-09-16 09:52:27.357439,2023-09-16 09:52:36.450815,0 days 00:00:09.093376,0.17057095467602412,1322,0.3872900560058771,COMPLETE
