number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
247,18.006605028578527,2023-09-16 01:22:21.782791,2023-09-16 01:22:51.973553,0 days 00:00:30.190762,0.6382032860191102,0.024916698651879145,3,390,0.12585780972129748,0.6668766249329406,0.6039541505026416,COMPLETE
248,17.971195565385287,2023-09-16 01:22:51.973553,2023-09-16 01:23:26.730447,0 days 00:00:34.756894,0.6343468577857245,0.0227364619677049,3,457,0.10919395637464749,0.6609857855806945,0.6030130866032821,COMPLETE
249,99.40011350754449,2023-09-16 01:23:26.730447,2023-09-16 01:23:58.529396,0 days 00:00:31.798949,0.6364591528325301,9.534564007947569e-05,3,422,0.10838847223706802,0.6657219843794948,0.6038173187610819,COMPLETE
250,17.979348072332478,2023-09-16 01:23:58.529396,2023-09-16 01:24:34.917038,0 days 00:00:36.387642,0.6703995841496818,0.020122052987870162,3,462,0.0686929335082159,0.6569872485607053,0.5936523145569043,COMPLETE
251,20.809188842641085,2023-09-16 01:24:34.929548,2023-09-16 01:25:12.484363,0 days 00:00:37.554815,0.6802440841519806,0.22129793809281714,3,475,0.07241235640760281,0.679528917788842,0.5940321543093906,COMPLETE
252,18.033449623603268,2023-09-16 01:25:12.484363,2023-09-16 01:25:48.231279,0 days 00:00:35.746916,0.6586463090814262,0.024021432727324595,3,456,0.09104930946102596,0.662292134104423,0.5579498784614422,COMPLETE
253,17.985580207361586,2023-09-16 01:25:48.246909,2023-09-16 01:26:26.092804,0 days 00:00:37.845895,0.6720195132385488,0.018960126381740928,3,483,0.0895596771994257,0.6551388067913575,0.6101196218897992,COMPLETE
254,18.131707754987026,2023-09-16 01:26:26.092804,2023-09-16 01:27:13.056722,0 days 00:00:46.963918,0.6918866048668467,0.014795771901623105,4,467,0.09509551014607008,0.6572993670671462,0.6126252593002338,COMPLETE
255,20.79879691489354,2023-09-16 01:27:13.056722,2023-09-16 01:27:53.922954,0 days 00:00:40.866232,0.6729503539576347,0.2070886002721654,3,519,0.05844648791013128,0.7169151934917637,0.5666045887379983,COMPLETE
256,50.377691834333184,2023-09-16 01:27:53.922954,2023-09-16 01:28:28.723894,0 days 00:00:34.800940,0.6510808103175008,0.0016252198965594142,3,455,0.08229200444331185,0.6605384260907399,0.588723952531891,COMPLETE
257,18.694273448373696,2023-09-16 01:28:28.723894,2023-09-16 01:30:14.029184,0 days 00:01:45.305290,0.664764585056673,0.05107553891385335,9,485,0.11381328769795274,0.6895336045887588,0.6088608638485155,COMPLETE
258,18.004267464104913,2023-09-16 01:30:14.029184,2023-09-16 01:30:52.100289,0 days 00:00:38.071105,0.7379395717931989,0.0209186502664716,3,452,0.04683922871142734,0.7570915873332176,0.5612451417397811,COMPLETE
259,26.079100503397132,2023-09-16 01:30:52.100289,2023-09-16 01:31:30.448554,0 days 00:00:38.348265,0.7427354367122115,0.5592784656443475,3,456,0.017034453840878823,0.7455486206774801,0.5588477187805077,COMPLETE
260,17.934839887869785,2023-09-16 01:31:30.448554,2023-09-16 01:32:12.161214,0 days 00:00:41.712660,0.7098240561885346,0.021836798432019206,3,508,0.05000594274573709,0.7230973741294471,0.5163433317154466,COMPLETE
261,82.1804050730992,2023-09-16 01:32:12.161214,2023-09-16 01:32:53.434754,0 days 00:00:41.273540,0.7077239893853893,0.0004584013614335816,3,516,0.04535695284366656,0.721532158366756,0.4990540904730888,COMPLETE
262,18.052842742806842,2023-09-16 01:32:53.434754,2023-09-16 01:33:31.201832,0 days 00:00:37.767078,0.6924776560977138,0.021550014616598334,3,471,0.06455743425943579,0.7635860406738598,0.4764200872902426,COMPLETE
263,18.04305938744414,2023-09-16 01:33:31.201832,2023-09-16 01:34:15.108018,0 days 00:00:43.906186,0.6777269823898215,0.021123914516385737,4,440,0.035640117976955654,0.7774400487609924,0.5223460173340881,COMPLETE
