listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
30,3052,1890,Wir vermieten per 16. Mai 2023 an der Winkelriedstrasse 14 in Bern eine 3.5 Zimmerwohnung im 9. Stock.,Bern,3.5 Zimmerwohnung im 9. OG mit schöner Aussicht,NA,1890,Wohnung,Wohnung,3.5,NA,NA,NA,2023-05-02,48087057,NA
31,3014,3750,"Grosszügige, helle 6-1/2 Zimmer Wohnung in Zweifamilienhaus mit Autounterstand auf 1. September oder nach Vereinbarung. Dieser Wohnteil hat einen Gartenanteil mit Bachanstoss 215m2 und 2 überdeckten Terrassen 30m2. Minergiegebäudehülle mit solarer Energiegewinnung. Familienfreundliche, ruhige Lage an Sackgasse mit guter Anbindung an öffentlichen Verkehr. Steuergünstige Lage in Muri bei Bern.",Bern,Gartenwohnung am Bach in 3073 Gümligen,NA,3750,Wohnung,Wohnung,6.5,158,NA,NA,2023-05-02,48087039,NA
32,3073,1515,"Habe ich Ihr Interesse geweckt? Am besten schicken Sie mir (Privatanbieter) eine Nachricht mit Angabe der Tageszeit, wann Sie zur Besichtigung kommen können. Ich werde Ihnen dann einen Terminvorschlag schicken. Verwenden Sie bitte des Telefon nur für Rückfragen.",Bern,schöne 2-Zimmerwohnung mit grossem Balkon nahe Inselspital,NA,1515,Wohnung,Wohnung,2,51,NA,NA,2023-05-02,48086973,NA
33,3008,1590,"Wir vermieten per 01.06.2023 oder nach Vereinbarung eine schöne 2,5-Zimmerwohnungen im Länggass-Quartier, welche nur wenige Minuten von diversen Universitäten (vis-à-vis Uni Tobler) entfernt liegt.",Bern,"gemütliche 2,5-Zimmerwohnung im Länggass-Quartier",NA,1590,Wohnung,Wohnung,2.5,67,NA,NA,2023-05-02,48086966,NA
34,3012,1600,"Sonnige, ruhig gelegene Wohnung, moderne Küche mit Geschirrspühler, Keramikkochfeld und Plattenboden, Reduit- Vorratsraum in der Küche. Wohn und Schlafzimmerböden Parkett. Div. Einbauschränke. Badezimmer mit Douche. Grosser, sonniger West-Balkon. Kleiner Ost Balkon mit Morgensonne. Individuelle Heitzkostenabrechnung. Kellerabteil steht zur Verfügung. Kabelanschluss und Möglichkeit für ultraschnelle Glasfaser in der Wohnung. ÖV ca. 100m",Bern,grosse sonnige 4-Zimmer Wohnung,NA,1600,Wohnung,Wohnung,4,100,NA,NA,2023-05-02,48086965,NA
35,3400,2230,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"sonnige, ruhige 3-Zimmer-Wohnung in der Länggasse",NA,2230,Wohnung,Wohnung,3,80,NA,NA,2023-05-02,48086957,NA
36,3012,1250,per 1. Juni 2023 vermieten wir diese kleine charmante 2.5 Zimmerwohnung in einem Mehrfamilienhaus am Oberer Aareggweg 12.,Bern,2.5 Zimmerwohnung mit Charm und Terrasse,NA,1250,Wohnung,Wohnung,2.5,NA,NA,NA,2023-05-02,48086912,NA
37,3004,1150,3.5 Zimmerwohnun mit Balkon an sonniger lage,Bern,Grosse 3.5 Zimmerwohnung mit Balkon,NA,1150,Wohnung,Wohnung,3.5,110,NA,NA,2023-05-02,48086898,NA
38,3618,890,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Die erste eigene Wohnung!,NA,890,Wohnung,Wohnung,1.5,55,NA,NA,2023-05-02,48086851,NA
39,2504,1740,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"Ruhige, gepflegte Siedlung",NA,1740,Wohnung,Wohnung,3.5,82,NA,NA,2023-05-02,48086832,NA
40,3063,1350,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr Wohnraumtraum - perfekt für Singles!,NA,1350,Wohnung,Wohnung,2.5,69,NA,NA,2023-05-02,48086830,NA
41,3011,3480,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohnen direkt neben der Zytglogge,NA,3480,Wohnung,Wohnung,3.5,111,NA,NA,2023-05-02,48086793,NA
42,3014,2250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Exklusiv! Wohnen über den Dächern vom Breitenrain,NA,2250,Wohnung,Attikawohnung,2.5,64,NA,NA,2023-05-02,48086777,NA
43,2504,1840,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Grosszügige Familienwohnung in Orpund,NA,1840,Wohnung,Wohnung,4.5,121,NA,NA,2023-05-02,48086734,NA
44,4900,2090,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Exklusive Wohnung für Individualisten,NA,2090,Wohnung,Wohnung,3.5,185,NA,NA,2023-05-02,48086731,NA
45,3322,1605,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne 3.5 Zimmerwohnung,NA,1605,Wohnung,Wohnung,3.5,75,NA,NA,2023-05-02,48086684,NA
46,4900,2180,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Mitten im Stadtzentrum mit grosser Terrasse,NA,2180,Wohnung,Wohnung,3.5,137,NA,NA,2023-05-02,48086670,NA
47,3110,1900,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Lust auf einen Tapetenwechsel? | Mieten ohne Kaution!,NA,1900,Wohnung,Wohnung,4.5,95,NA,NA,2023-05-02,48086666,NA
48,2503,370,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Einzelzimmer in ruhigem Quartier gesucht? Mieten ohne Mietka,NA,370,Wohnung,Wohnung,1,14,NA,NA,2023-05-02,48086628,NA
49,4922,1060,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Treffer!,NA,1060,Wohnung,Wohnung,3,61,NA,NA,2023-05-02,48086592,NA
50,4950,900,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Studienwohnung - Zweitwohnung!,NA,900,Wohnung,Studio,1,36,NA,NA,2023-05-02,48086588,NA
51,3506,940,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Dachwohnung in grüner Umgebung,NA,940,Wohnung,Wohnung,2,35,NA,NA,2023-05-02,48086582,NA
52,3600,1690,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Nicht nur perfekt für Familien!,NA,1690,Wohnung,Wohnung,4,79,NA,NA,2023-05-02,48086505,NA
53,3604,1720,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Grosszügiges Wohnen im Neufeld garantiert!,NA,1720,Wohnung,Wohnung,4.5,97,NA,NA,2023-05-02,48086485,NA
54,4900,2065,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Modernes Wohnen in ruhiger Überbauung,NA,2065,Wohnung,Wohnung,4.5,108,NA,NA,2023-05-02,48086478,NA
55,3012,1326,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Geräumige Wohnung in der Länggasse,NA,1326,Wohnung,Wohnung,1,58,NA,NA,2023-05-02,48086448,NA
56,4922,1290,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Einfach Zuhause fühlen.,NA,1290,Wohnung,Wohnung,4,70,NA,NA,2023-05-02,48086403,NA
57,3067,985,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Perfekt für Studenten und Singles!,NA,985,Wohnung,Wohnung,1,38,NA,NA,2023-05-02,48086384,NA
58,3063,2150,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause in Ittigen - MIETEN OHNE KAUTION!,NA,2150,Wohnung,Wohnung,4.5,113,NA,NA,2023-05-02,48086332,NA
59,3400,1499,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,5 Minuten vom Bahnhof entfernt!,NA,1499,Wohnung,Wohnung,4,77,NA,NA,2023-05-02,48086325,NA
60,3506,1280,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause?,NA,1280,Wohnung,Wohnung,3,58,NA,NA,2023-05-02,48086308,NA
61,3067,1620,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Ihr neues Zuhause?,NA,1620,Wohnung,Wohnung,3.5,83,NA,NA,2023-05-02,48086302,NA
62,3012,1470,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Zentral Wohnen in der Länggasse,NA,1470,Wohnung,Wohnung,3,59,NA,NA,2023-05-02,48086301,NA
63,2543,600,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Endlich meine eigene Wohnung!,NA,600,Wohnung,Wohnung,1.5,38,NA,NA,2023-05-02,48086300,NA
64,3250,1380,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Moderne Wohnung in Lyss zu vermieten,NA,1380,Wohnung,Wohnung,3.5,64,NA,NA,2023-05-02,48086201,NA
65,2503,1060,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne 3-Zimmerwohnung im Grünen - Mieten ohne Mietkaution!,NA,1060,Wohnung,Wohnung,3,56,NA,NA,2023-05-02,48086182,NA
