listing_no,postcode,price_chf,description,canton,long_title,seller,price_with_utilities,object,category,rooms,space_sqm,characteristics,availability,last_change,listing_number,available_as_of
2135,2502,2040,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Schöne 6½ Zimmer Familienwohnung,NA,2040,Wohnung,Wohnung,6.5,175,NA,NA,2023-04-29,47795666,NA
2136,2577,1600,Beschreibung,Bern,Wunderschöne 4.5 Zimmerwohnung mit Balkon in Port,NA,1600,Wohnung,Wohnung,4.5,85,NA,NA,2023-04-13,47795652,NA
2137,2562,1030,"Die ruhige, helle Wohnung befindet sich am Juraplatz, im 2. Stock, ohne Lift. Ein Zimmer mit zwei Fenstern ist gegen Norden gerichtet, das zweite Zimmer sowie die renovierte Küche liegen gegen Süden.",Bern,Altstadt Biel - helle 2-Zi Wohnung,NA,1030,Wohnung,Wohnung,2,70,NA,NA,2023-04-13,47795538,NA
2138,2502,1700,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,2.5-Zimmerwohnung im Zentrum von Uetendorf - Alterswohnung,NA,1700,Wohnung,Wohnung,2.5,58,NA,NA,2023-04-13,47795537,NA
2139,3661,1890,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wunderschöne 3.5-Zimmerwohnung mit Garten,NA,1890,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-13,47795464,NA
2140,3661,1190,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Günstige Wohnung an zentraler Lage,NA,1190,Wohnung,Wohnung,3,64,NA,NA,2023-04-13,47795448,NA
2141,3400,1190,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Günstige Wohnung an zentraler Lage,NA,1190,Wohnung,Wohnung,3,64,NA,NA,2023-04-13,47795448,NA
2142,2615,1310,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"Sonvilier, grand appartement de 5.5 pces au 1er étage",NA,1310,Wohnung,Wohnung,5.5,NA,NA,NA,2023-04-13,47795410,NA
2143,3052,2170,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,In autofreier Siedlung - neu sanierte Wohnung,NA,2170,Wohnung,Wohnung,4.5,106,NA,NA,2023-04-13,47795398,NA
2144,4900,2390,"Wir vermieten ab dem 1. Mai 2023 oder nach Vereinbarung eine wunderschöne und sehr charmante 4.5 Zimmer Altbauwohnung in einer grossen unter Denkmalschutz stehenden Villa. Top Lage mit Gartensitzplatz, direkt beim Bahnhof Langenthal.",Bern,Grosse 4.5 Zimmer Altbauwohnung in charmanter Villa zu vermi,NA,2390,Wohnung,Wohnung,4.5,130,NA,NA,2023-04-13,47795395,NA
2145,3007,1500,"Zu vermieten charmante 3½-Zimmer-Wohnung im Hochparterre mit Balkon",Bern,tolle 3.5-Zimmerwohnung im Weissenbühlquartier,NA,1500,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-25,47795381,NA
2146,3232,1550,"Wir vermieten eineWohnungen im 1. Stockwerk. Die Wohnung ist hell, geräumig und ruhig.",Bern,"Helle, geräumige Wohnung mit grossem Balkon am Rosenweg",NA,1550,Wohnung,Wohnung,2.5,72,NA,NA,2023-04-27,47795380,NA
2147,3232,1920,"Wir vermieten eine helle und grosszügige 3 1/2 - Zimmer - Wohnung. Ein Einstellhallenplatz (Fr. 100.-) kann dazugemietet werden. Adresse: Rosenweg 6, hinter Gärtnerei Chopard.",Bern,"Helle, geräumige Wohnung mit grossem Balkon am Rosenweg",NA,1920,Wohnung,Wohnung,3.5,98,NA,NA,2023-04-13,47795379,NA
2148,3174,1600,Zu vermieten per 1. Juli 2023 oder auch später nach Vereinbarung schöne und grosszügige 4.5-Zimmerwohnung (ca. 95 m2) im 2. Stockwerk.,Bern,Schöne und grosszügige 4.5-Zimmerwohnung,NA,1600,Wohnung,Wohnung,4.5,95,NA,NA,2023-04-13,47795377,NA
2149,3072,1550,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,LETZTE ERSTVERMIETUNG Dachwohnung nach Sanierung - hier wohn,NA,1550,Wohnung,Wohnung,2,67,NA,NA,2023-04-13,47795222,NA
2150,2502,2490,Wir vermieten per 01.07.2023 diese stilvolle 4.5-Zimmer-Wohnung im Beaumont Quartier. Die Wohnung hat folgendes zu bieten:,Bern,Wohnen mit Weitsicht,NA,2490,Wohnung,Wohnung,4.5,133,NA,NA,2023-04-13,47795186,NA
2151,3655,2280,Wir vermieten per sofort oder nach Vereinbarung eine 4.5 Zimmer-Parterrewohnung mitten in Sigriswil.,Bern,Schöne 4.5 Zimmer-Parterrewohnung mitten in Sigriswil,NA,2280,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-13,47795171,NA
2152,3116,1250,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Gemütliche 3.5 Zimmer Dachwohnung,NA,1250,Wohnung,Wohnung,3.5,66,NA,NA,2023-04-13,47795138,NA
2153,3715,1450,"-Dorfbahn, Einkaufsmöglichkeiten und Restaurant/Bars in 2-5 Gehminuten erreichbar.",Bern,Schöne 1.5 Zi. Wohnung an zentraler Lage,Gerstler,1450,Wohnung,Loft,1.5,53,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt Lift,Ab sofort,2023-04-12,47792388,NA
2154,3427,1140,Nachmieter gesucht für kleine 3 Zimmer Wohnung,Bern,Kleine aber feine 3 Zimmer Wohnung in Utzenstorf,Schaad,1140,Wohnung,Wohnung,3,NA,Haustiere erlaubt,Ab Datum,2023-04-12,47787639,01.07.2023
2155,2740,910,"Appartement de 2,5 pièces",Bern,"Moutier, Petit-Val 16 - 2,5 pièces / Avec ascenseur",Pasqualina Elia,910,Wohnung,Wohnung,2.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Lift,Ab Datum,2023-04-27,46832210,01.06.2023
2156,2740,965,Appartement de 3 pièces - Rénové,Bern,"Moutier, Sous-Chaux 21-23 - 3 pièces avec balcon",Pasqualina Elia,965,Wohnung,Wohnung,3,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-04-12,46014445,NA
2157,2740,1070,"Appartement de 3,5 pièces - Rénové",Bern,"Moutier, Sous-Chaux 21-23 - 3,5 pièces avec balcon",Pasqualina Elia,1070,Wohnung,Wohnung,3.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-04-12,46014307,NA
2158,2735,1040,"Appartement de 3,5 pièces récemment rénové",Bern,"Bévilard, Prés 1 - 3,5 pièces - Avec ascenseur",Pasqualina Elia,1040,Wohnung,Wohnung,3.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Lift,Ab sofort,2023-04-12,44830218,NA
2159,2738,910,"Appartement de 4,5 pièces",Bern,"Court, Temple 2 - 4,5 pièces",Pasqualina Elia,910,Wohnung,Wohnung,4.5,NA,NA,Ab sofort,2023-04-27,43935001,NA
2160,2610,880,"Appartement de 3 pièces, environ 67m2, au 2ème étage, plafonds hauts (3m), traversant, lumineux, vue dégagée au sud, séjour avec balcon, cuisine agencée (réfrigérateur, platine vitrocéramique, four et hotte), 2 grandes chambres avec parquet, salle de bain avec douche à l’italienne refaite à neuf.",Bern,St-Imier - appartement 3 pièces,courtagebude,880,Wohnung,Wohnung,3,67,NA,Ab Datum,2023-04-22,47785275,01.06.2023
2161,3098,1490,Hochparterre Wohnung nähe Könizerbad.,Bern,Mietwohnung,Doni,1490,Wohnung,Wohnung,3.5,75,Balkon / Terrasse / Sitzplatz Haustiere erlaubt,Ab Datum,2023-04-23,47785009,01.07.2023
2162,3663,1550,Per 01. Juli 2023 oder nach Vereinbarung vermieten wir am Hübeli 130 in 3663 Gurzelen eine moderne Wohnung im Eigentumsstandard (Baujahr 2018).,Bern,Moderne 2.5 Zi. Wohnung in Gurzelen,Richard,1550,Wohnung,Wohnung,2.5,46,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt Lift,Ab Datum,2023-04-15,47751424,01.07.2023
2163,3600,1430,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Wohnen an ruhiger Lage in Thun,NA,1430,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-12,47779821,NA
2164,3672,2110,"Ab August 2023 sind an der Burgdorfstrasse 5/5a in Oberdiessbach 24 neue Seniorenwohnungen bezugsbereit. Die moderne Wohnform von 1.5- bis 3.5-Zimmer bietet den neuen Bewohnern alles, um die individuellen Bedürfnisse abzudecken. Den neuen Bewohnern werden nebst den hochmodernen Räumlichkeiten und Infrastrukturen folgende Dienstleistungen geboten:",Bern,Leuenegg - Seniorenwohnungen mit Dienstleistungen,NA,2110,Wohnung,Wohnung,3.5,77,NA,NA,2023-04-12,47779764,NA
2165,3672,1450,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Leuenegg - Seniorenwohnungen mit Dienstleistungen,NA,1450,Wohnung,Wohnung,1.5,38,NA,NA,2023-04-12,47779762,NA
2166,4704,1795,"Die Liegenschaft befindet sich in einem ruhigen Wohnquartier. In unmittelbarer Nähe befinden sich die Einkaufsmöglichkeiten Voi (Migros) und Coop, sowie diverse Banken, die Post, etc.. Der Bahnhof Niederbipp ist nur wenige Schritte vom Coop entfernt. Die Gemeinde verfügt über Kindergarten, Primar-und Sekundarschulen und Kleinklassen.",Bern,Moderne 4.5-Z'Wohnung mit Balkon,NA,1795,Wohnung,Wohnung,4.5,103,NA,NA,2023-04-12,47779761,NA
2167,3600,2140,Bezug ab 1. 7. 2023 oder nach Vereinbarung möglich,Bern,"grosszügige, 3,5 Zi. Whg in der Altstadt Thun, mit Gartenben",NA,2140,Wohnung,Wohnung,3.5,93,NA,NA,2023-04-12,47779750,NA
2168,3172,1690,An der Freiburgstrasse 519 in Niederwangen vermieten wir ab sofort oder nach Vereinbarung eine neu sanierte 4-Zimmerwohnung mit Balkon.,Bern,"Attraktive, neu sanierte 4-Zimmerwohnung in Niederwangen",NA,1690,Wohnung,Wohnung,4,NA,NA,NA,2023-04-12,47779632,NA
2169,2502,2060,"L'appartement Loft de 180 m2, lumineux et traversant, se situe au centre-ville dans la zone piétonne. Il dispose de 2 chambres fermées, un sol en granit et des stores électriques. Le séjour - cuisine moderne avec bar est réparti sur 120 m2 d'où l'on peut accéder à une grande terrasse de 15 m2 côté cour. Ce bien d'exception est complété avec un WC/bains et un WC/douche avec LL/TU et une cave. Sur demande, il y a la possibilité de louer une place de parc en garage souterrain dans l'immeuble voisin.",Bern,LOFT de 180 m2 avec 2 chambres,NA,2060,Wohnung,Loft,NA,180,NA,NA,2023-04-12,47779630,NA
2170,3128,1950,Wir vermieten per sofort oder nach Vereinbarung eine grosszügige und neusanierte 4.5 Zimmerwohnung in Rümligen. Die Wohnung bietet Ihnen die folgenden Vorzüge:,Bern,Erstvermietung nach Neusanierung,NA,1950,Wohnung,Wohnung,4.5,90,NA,NA,2023-04-12,47779517,NA
2171,2502,2590,"Wir vermieten ab 1. Juli 2023 oder nach Vereinbarung diese wunderbare, grosszügige 5.5-Zimmer-Duplex Wohnung an zentraler Lage. Die Wohnung hat sehr vieles zu bieten:",Bern,Luxuriös und modern,NA,2590,Wohnung,Wohnung,5.5,160,NA,NA,2023-04-19,47779479,NA
2172,2738,1315,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"Appartement de 4.5 pièces avec balcon, buanderie PRIVATIVE e",NA,1315,Wohnung,Wohnung,4.5,92,NA,NA,2023-04-12,47779473,NA
2173,3174,1290,"Neu renovierte, ca. 60 m² grosse 2.5-Zimmer-Wohnung mit Terasse und Parkplatz.",Bern,2.5-Zimmer-Wohnung,NA,1290,Wohnung,Wohnung,2.5,60,NA,NA,2023-04-12,47779419,NA
2174,3053,790,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Charmante 1-ZW in M'Buchsee,NA,790,Wohnung,Wohnung,1,27,NA,NA,2023-04-12,47779410,NA
2175,3414,1500,Im liebevoll renovierten 3-Familienhaus vermieten wir eine praktische 5-Zimmerwohnung:,Bern,Familienwohnung,NA,1500,Wohnung,Wohnung,5,125,NA,NA,2023-04-12,47779407,NA
2176,3098,2250,Wir vermieten per 16. Juli 2023 oder nach Vereinbarung ein schöne 3-Zimmerwohnung für Singels oder Paare in der 2. Lebenshälfte.,Bern,Wohnangebote für Singles und Paare in der 2. Lebens­hälfte,NA,2250,Wohnung,Wohnung,3,86,NA,NA,2023-04-25,47779405,NA
2177,2710,1350,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Grand et lumineux duplex au coeur de Tavannes,NA,1350,Wohnung,Wohnung,4.5,NA,NA,NA,2023-04-12,47779380,NA
2178,3422,2200,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"Helle, sonnige 3.5-Zimmer-Attikawohnung mit grosszügiger Ter",NA,2200,Wohnung,Wohnung,3.5,90,NA,NA,2023-04-12,47779349,NA
2179,3604,1390,Schönes Studio direkt am Thunersee,Bern,Studio am Thunersee,NA,1390,Wohnung,Studio,1,42,NA,NA,2023-04-12,47779325,NA
2180,2740,1520,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Appartements neufs à louer,NA,1520,Wohnung,Wohnung,3.5,79,NA,NA,2023-04-12,47779297,NA
2181,2740,1160,Sonniger Balkon .,Bern,"Schöne helle, 2,5 Zimmerwohnung",NA,1160,Wohnung,Wohnung,2.5,30,NA,NA,2023-04-12,47779275,NA
2182,3054,1380,"Sehr schöne grosszügige Wohnung im 1 Stock, in einem Bauernhaus mit einer sepreaten Küche sowie zwei kleinen Badezimmer mit Dusche. Um das Landleben zu geniessen hat es zwei Holzlauben und ein Grillplatz im Parterre. Bei Bedarf steht ein Gartenanteil zur Verfügung.",Bern,Schöne 3.5 Zimmerwohnung in Bauernhaus,NA,1380,Wohnung,Wohnung,3.5,95,NA,NA,2023-04-12,47779267,NA
2183,3204,690,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Günstige Wohnung in gepflege Liegenschaft,NA,690,Wohnung,Wohnung,1.5,NA,NA,NA,2023-04-12,47778983,NA
2184,4950,1931,"Gefühlt sicher, gewohnt unabhängig und sorglos leben im Alter:   Das Alterszentrum Alenia vermietet ab sofort oder nach Vereinbarung total sanierte, grosszügige 2-Zimmerwohnungen mit topmoderner Infrastruktur im Zentrum von Gümligen.",Bern,Topmoderne Alterswohnungen mit Dienstleistungen,NA,1931,Wohnung,Wohnung,2,50,NA,NA,2023-04-12,47778920,NA
2185,3073,2300,"""Wunderschöne 4 1/2 Zimmerwohnung mit Galerie in umgebauten Bauernhaus""",Bern,Wunderschöne Wohnung mit Galerie in einzigartiger Lage,NA,2300,Wohnung,Wohnung,4.5,170,NA,NA,2023-04-12,47778873,NA
2186,3123,1800,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Frisch renovierte 3.5-Zimmer-Wohnung in Thun zu vermieten,NA,1800,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-22,47778823,NA
2187,3604,1170,"Entlang der Schüss, an zentraler Lage vermieten wir nach Vereinbarung am Oberen Quai 28, eine 3.5-Zimmer-Wohnung im 3. Obergeschoss mit:",Bern,3.5-Zi-Wohnung Oberer Quai 28 Biel,NA,1170,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-12,47778710,NA
2188,2502,1450,"Wir vermieten ab sofort oder nach Vereinbarung eine charmante, 3-Zimmerwohnung im Hochparterre mit Balkon.",Bern,Charmante Wohnung in Burgdorf,NA,1450,Wohnung,Wohnung,3,70,NA,NA,2023-04-15,47778695,NA
2189,3400,2040,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,"4 1/2-Zimmerwohnung, 1. Stock links",NA,2040,Wohnung,Wohnung,4.5,88,NA,NA,2023-04-12,47778687,NA
2190,3110,1850,"Diese hübsche Wohnung mit viel Charme, ist in einem gepflegten Zustand und wurde ständig renoviert. Die hohen Räume mit Sichtbalken weiten das Wohngefühl aus und bieten mit dem Cheminée ein angenehmes Wohlfühlklima. Einbauschränke sowie ein Kellerabteil bieten zusätzlichen Stauraum und auf dem grossen Balkon geniessen Sie erholsame Stunden. Die Bodenbeläge bestehen aus Platten und Laminat.",Bern,4 ½ Zimmer-Galeriewohnung MIT Balkon,NA,1850,Wohnung,Wohnung,4.5,100,NA,NA,2023-04-12,47778677,NA
2191,3270,1780,"Die Wohnung wurde 2002 total renoviert. Sie verfügt über eine geräumige Küche, Bad/Dusche, sep. WC sowie einen grossen Balkon. Die Bodenbeläge bestehen aus Platten, Parkett und Laminat. Die Wohnlage ist zentral.",Bern,helle 4 ½-Zimmerwohnung MIT Balkon im 1. OG,NA,1780,Wohnung,Wohnung,4.5,108,NA,NA,2023-04-12,47778676,NA
2192,3270,2485,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Attika Wohn(t)raum mit grosser Terrasse,NA,2485,Wohnung,Wohnung,3.5,79,NA,NA,2023-04-12,47778610,NA
2193,3097,2255,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,Stadt und Land in einer Hand,NA,2255,Wohnung,Wohnung,4.5,106,NA,NA,2023-04-12,47778609,NA
2194,3098,755,"À Péry-La Heutte, à 11 min. en train depuis Bienne, appartement neuf et lumineux, comprenant:",Bern,Appartement neuf - Première location,NA,755,Wohnung,Wohnung,2,NA,NA,NA,2023-04-12,47778585,NA
2195,2603,1050,Schöne 3-Zimmerwohnung zu vermieten,Bern,Renovierte 3-ZImmerwohnung,NA,1050,Wohnung,Wohnung,3,65,NA,NA,2023-04-12,47778571,NA
2196,2504,1500,Wir vermieten per 1. April 2023 oder nach Vereinbarung eine gemütliche 2-Zimmer-Wohnung in Stadtnähe.,Bern,Tolle Wohnung in Stadtnähe,NA,1500,Wohnung,Wohnung,2,NA,NA,NA,2023-04-12,47778506,NA
2197,3008,1980,"Die Liegenschaft befindet sich mitten in Bümpliz, direkt gegenüber vom alten Schloss. Durch die zentrale Lage eignet sich die Wohnung bestens für ältere Personen, weil alles von A - Z unkompliziert in wenigen Gehminuten zu Fuss erreicht werden kann.",Bern,Perfekt fürs Wohnen im Alter!,NA,1980,Wohnung,Wohnung,4.5,88,NA,NA,2023-04-12,47778505,NA
2198,3018,1,zu vermieten,Bern,Zwei 3 1/2 Zimmer Wohnungen und Freilaufställe für Pferde,vaclav,1,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-11,47777065,NA
2199,3533,1150,"Appartement, garage et place de parc, 2ème, 4.5 pièce(s), 107 m2 à louer-  (2710-Tavannes)",Bern,"Appartement, garage+place de parc, 2ème, 4.5 pièce(s),107 m2",Débora Murta,1150,Wohnung,Wohnung,4.5,107,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt,Ab Datum,2023-04-12,47683540,31.05.2023
2200,2710,1780,"Très bel appartement à louer à la Neuveville de 4.5 pièces au 1er étage. 
- Fraîchement repeint
- Balcon
- Salle de bain avec baignoire
- Jardin en commun
- Une place de parc privée peut être convenue",Bern,Appartement 4.5 pces,Amelie,1780,Wohnung,Wohnung,4.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt,Ab Datum,2023-04-12,47776828,01.05.2023
2201,2520,1780,"Très bel appartement à louer à la Neuveville de 4.5 pièces au 1er étage. 
- Fraîchement repeint
- Balcon
- Salle de bain avec baignoire
- Jardin en commun
- Une place de parc privée peut être convenue",Bern,Appartement 4.5 pces,Amelie,1780,Wohnung,Wohnung,4.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz Haustiere erlaubt,Ab Datum,2023-04-12,47776828,01.05.2023
2202,2740,1300,"Appartement 4.5 pièces à louer de suite (cave, balcon et place de parque extérieure)",Bern,Appartement à louer 4.5 pièces,Conrad Glauser,1300,Wohnung,Wohnung,4.5,100,NA,Ab sofort,2023-04-11,47776559,NA
2203,2503,480,Studio de 1 pièce à louer.,Bern,A louer studio de 1 pièce à Bienne,Salihu,480,Wohnung,Studio,1,NA,NA,Ab sofort,2023-04-11,47776248,NA
2204,2520,1880,Magnifique duplex à La Neuveville avec vue imprenable sur le lac.,Bern,Duplex 4 pcs avec terrasse de 20m2 et vue du lac,sanmonce,1880,Wohnung,Maisonette / Duplex,4,115,NA,Ab Datum,2023-04-11,46106484,01.06.2023
2205,2740,930,"Appartement de 3,5 pièces",Bern,"Moutier, Courtine 12 - 3,5 pièces",Pasqualina Elia,930,Wohnung,Wohnung,3.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab Datum,2023-04-11,46813599,01.09.2023
2206,2735,1210,"Appartement de 4,5 pièces, Rénové",Bern,"Bévilard, Emile Villeneuve 18 - 4,5 pièces",Pasqualina Elia,1210,Wohnung,Wohnung,4.5,NA,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-04-11,46813770,NA
2207,3672,1030,Im Zweifamlienhaus haben wir für Sie eine schöne renovierte Altwohnung:,Bern,"schöne renovierte Altwohnung, zentrumsnah, Bhf Oberdiessbach",casa helvetica,1030,Wohnung,Wohnung,2,35,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-04-16,47431156,NA
2208,3672,1400,Im Dorfzentrum Oberdiessbach in der gemütlichen 3.5 Zimmerwohnung könnte Ihr neues zu Hause sein...,Bern,"schöne, zentrale 3.5 Zimmerwohnung in Oberdiessbach - 75m2",casa helvetica,1400,Wohnung,Wohnung,3.5,75,Balkon / Terrasse / Sitzplatz Garage / Parkplatz,Ab sofort,2023-04-16,47430523,NA
2209,2720,850,Appartement très lumineux situé tout en haut d'un petit immeuble. Les fenêtres ouvrent côté jardin. Cuisine habitable avec une petite pièce attenante. Belle chambre à coucher et grande pièce à vivre.,Bern,Appartement 3 pièces,Vero,850,Wohnung,Wohnung,3,75,NA,Ab sofort,2023-04-11,47769664,NA
2210,3422,1490,Grosse Wohnküche/ Badezimmer mit Waschmaschine und Tumbler VZug / Parkett massiv / Küche / Bad Plattenboden schöner Innenausbau.,Bern,"4,5 Zimmer Wohnung",Herrn Lauber,1490,Wohnung,Wohnung,4.5,105,NA,Ab Datum,2023-04-21,47769549,01.05.2023
2211,1595,600,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,05087 - Appartement Studio - Route de Salavaux 26a - Faoug,NA,600,Wohnung,Wohnung,NA,23,NA,NA,2023-04-28,47766593,NA
2212,4537,1475,"Am Jurasüdfuss im historischen Städtchen Wiedlisbach vermieten wir eine schöne und helle Wohnung in familienfreundlicher Umgebung, an günstiger Verkehrslage Nähe Autobahnanschluss A1. Der Ausbau ist wie folgt:",Bern,3.5-ZWG - Erdgeschoss in Wiedlisbach,NA,1475,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-11,47765872,NA
2213,4912,1140,"Besichtigung  Für eine Besichtigung nehmen Sie bitte mit   Frau K. Auf der Maur, Tel. 079 179 29 67 oder WhatsApp Kontakt auf. Wir werden Sie raschmöglichst kontaktieren.",Bern,4-ZWG -Wiesenstrasse in Aarwangen,NA,1140,Wohnung,Wohnung,4,NA,NA,NA,2023-04-11,47765870,NA
2214,3007,1750,Total sanierte 2-Zimmerwohnung mit Terasse.,Bern,Gemütliche Wohnung mit Sitzplatz an zentraler Lage.TOP frisc,NA,1750,Wohnung,Wohnung,2,45,NA,NA,2023-04-11,47765868,NA
2215,4537,1575,"Am Jurasüdfuss im historischen Städtchen Wiedlisbach vermieten wir eine schöne und helle Wohnung in familienfreundlicher Umgebung, an günstiger Verkehrslage Nähe Autobahnanschluss A1. Der Ausbau ist wie folgt:",Bern,TOP frisch sanierte 3.5- ZWG,NA,1575,Wohnung,Wohnung,3.5,84,NA,NA,2023-04-11,47765866,NA
2216,2720,835,"Surface habitable denviron 65 m2. Cuisine agencée avec lave-vaisselle, salle de bains avec baignoire, un séjour, deux chambres à coucher et un corridor de distribution. Cave et grenier.",Bern,Appartement situé dans un petit immeuble de 3 étages,NA,835,Wohnung,Wohnung,3,NA,NA,NA,2023-04-11,47765809,NA
2217,2740,1390,"Local de buanderie individuel sur le palier avec colonne à laver-sécher, logement bénéficiant dun grand volume, dune importante luminosité et dun balcon-terrasse très spacieux orienté sud. 1 place de parc incluse dans le loyer.",Bern,Appartement de rénovation récente au centre-ville,NA,1390,Wohnung,Wohnung,4.5,99,NA,NA,2023-04-11,47765808,NA
2218,2740,865,"Local de buanderie individuel sur le palier avec colonne à laver-sécher, logement en attique bénéficiant dun grand volume, dune importante luminosité et dun balcon-terrasse très spacieux. 1 place de parc incluse dans le loyer.",Bern,Appartement de rénovation récente au centre-ville,NA,865,Wohnung,Wohnung,1.5,NA,NA,NA,2023-04-11,47765807,NA
2219,3770,1280,Das vollständige Inserat mit den Kontaktangaben sehen Sie bei immoscout24.ch,Bern,2.5-Zimmer-Wohnung in Zweisimmen,NA,1280,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-11,47765779,NA
2220,3367,1225,Die helle und grosszügige 31/2 Zimmerwohnung befindet sich in ländlicher und ruhiger Umgebung an der Bachstrasse 12 in 3367 Thörigen.,Bern,Helle 31/2 Zimmerwohnung,NA,1225,Wohnung,Wohnung,3.5,91,NA,NA,2023-04-11,47765759,NA
2221,4922,1980,"Die helle und grosszügige 5-Zimmerattikawohnung befindet sich in ländlicher Umgebung und nahe der Schule in einem Fünf-Familienhaus befindet, im ruhigen Johanniterquartier unterhalb des Schlosses und der Reformierten Kirche in Thunstetten.",Bern,"Helle, grosszügige Attika- 5 Zimmerwohnung",NA,1980,Wohnung,Wohnung,5,155,NA,NA,2023-04-11,47765756,NA
2222,4922,1020,Die helle und grosszügige 21/2 Zimmerwohnung befindet sich in ländlicher und ruhiger Umgebung.,Bern,Geräumige 21/2 Zimmerwohnung,NA,1020,Wohnung,Wohnung,2.5,NA,NA,NA,2023-04-22,47765755,NA
2223,3367,1325,"Die helle und grosszügige 31/2 Zimmer-Dachwohnung befindet sich in ländlicher Umgebung.  Die Wohnküche verfügt über eine Kochinsel, eine Abwaschmaschine, Keramikherd, einen zusätzlichen Gefrierschrank mit 3 Schublade und viel Stauraum.  Das Badezimmer ist mit einer Badewanne und einer separaten Dusche ausgestattet.  Weiterer Stauraum bietet das zur Wohnung gehörige Kellerabteil und der Estrich.",Bern,"Helle, grosszügige 31/2 Zimmer-Dachwohnung",NA,1325,Wohnung,Wohnung,3.5,NA,NA,NA,2023-04-11,47765754,NA
2224,3367,1390,"Schöne moderne 2,5 Zi Dachwohnung, sonnig, ruhig, zentral gelegen. Loft anordnung.  Internet-Zugang über Glasfaser  Heizung über Fernwärme",Bern,"Schöne 2,5 Zi Wohnung, zentral gelegen",NA,1390,Wohnung,Wohnung,2.5,60,NA,NA,2023-05-02,47765735,NA
2225,3008,1300,Wohnung Daueraufenthalt oder als Ferienwohnung zu vermieten auf dem schönen Jaunpass (Gemeinde Boltigen),Bern,Wohnung/Ferienwohnung,NA,1300,Wohnung,Maisonette / Duplex,3.5,85,NA,NA,2023-04-11,47765733,NA
