listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
16891,8950,NA,NA,2022,HONDA,CB 650 R,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-07-07,42457971,yes,Hinterradantrieb
16892,8490,NA,NA,2022,HONDA,CBR 500 R (35kW),1,Schaltgetriebe,Benzin,Schwarz,2022-08-05,42457970,yes,Hinterradantrieb
16893,9900,NA,NA,2019,DUCATI,Scrambler 800 Full Throttle,1700,Schaltgetriebe,Benzin,Gelb,2022-06-08,42457966,no,Hinterradantrieb
16894,5590,NA,NA,2022,HONDA,CB 125 R,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-05,42457954,yes,Hinterradantrieb
16895,12090,NA,NA,2022,NA,Snarler 600GL-D  4x4,1,Automatik,Benzin,Grau,2022-07-06,42457952,yes,NA
16896,10990,NA,NA,2022,MOTO GUZZI,V7 IV 850 Stone,2,Schaltgetriebe,Benzin,Blau,2022-07-01,42457951,yes,Hinterradantrieb
16897,11500,NA,NA,2016,TRIUMPH,Thruxton R 1200 i ABS,4800,Schaltgetriebe,Benzin,Rot,2022-03-04,42457941,no,Hinterradantrieb
16898,7400,NA,NA,2015,DUCATI,Scrambler 800 Icon,17600,Schaltgetriebe,Benzin,Gelb,2022-03-04,42457933,no,Hinterradantrieb
16899,24860,NA,NA,2022,BMW,R 1250 GS Triple Black,10,Schaltgetriebe,Benzin,Schwarz,2022-05-02,42457926,yes,Hinterradantrieb
16900,20250,NA,NA,2022,BMW,R 1250 R Sport,10,Schaltgetriebe,Benzin,Weiss,2022-08-05,42457923,yes,Hinterradantrieb
16901,18900,NA,NA,2022,BMW,R 1250 R Exclusive,2500,Schaltgetriebe,Benzin,Grau,2022-08-05,42457922,yes,Hinterradantrieb
16902,6690,NA,NA,2013,YAMAHA,FZ 8 NA ABS,26700,Schaltgetriebe,Benzin,Grau,2022-04-16,42457917,no,Hinterradantrieb
16903,25990,NA,NA,2020,NA,SR/S ZF 14.4,2500,Automatik,Elektrisch (Plug-in),Grau,2022-04-08,42457916,yes,Hinterradantrieb
16904,28635,NA,NA,2020,NA,SR/F ZF 14.4,152,Automatik,Elektrisch (Plug-in),Rot,2022-04-08,42457915,yes,Hinterradantrieb
16905,22900,NA,NA,2019,NA,SR/F ZF 14.4,8286,Automatik,Elektrisch (Plug-in),Blau,2022-08-05,42457914,no,Hinterradantrieb
16906,13560,NA,NA,2022,NA,FXS 11 kW,1312,Automatik,Elektrisch (Plug-in),Schwarz,2022-03-04,42457912,yes,Hinterradantrieb
16907,13885,NA,NA,2021,NA,FX ZF 7.2,28,Automatik,Elektrisch (Plug-in),Schwarz,2022-04-08,42457911,yes,Hinterradantrieb
16908,25200,NA,NA,2022,NA,SR/S ZF 14.4,10,Automatik,Elektrisch (Plug-in),Blau,2022-04-08,42457909,yes,Hinterradantrieb
16909,24370,NA,NA,2022,NA,SR/F ZF 14.4,10,Automatik,Elektrisch (Plug-in),Grau,2022-04-08,42457908,yes,Hinterradantrieb
16910,25110,NA,NA,2022,NA,SR / F ZF 14.4,25,Automatik,Elektrisch (Plug-in),Schwarz,2022-03-04,42457903,yes,Hinterradantrieb
16911,18210,NA,NA,2022,NA,S 11 ZF 14.4,3,Automatik,Elektrisch (Plug-in),Blau,2022-03-04,42457902,yes,Hinterradantrieb
16912,25110,NA,NA,2022,NA,SR / F ZF 14.4 Premium,1,Automatik,Elektrisch (Plug-in),Schwarz,2022-03-04,42457901,yes,Hinterradantrieb
16913,18595,NA,NA,2021,APRILIA,Tuono V4 1100,2,Schaltgetriebe,Benzin,Weiss,2022-03-08,42457881,yes,Hinterradantrieb
16914,10490,NA,NA,2021,APRILIA,RS 660,900,Schaltgetriebe,Benzin,Schwarz,2022-06-29,42457877,yes,Hinterradantrieb
16915,7200,Neuwertig ,800,2015,DUCATI,Monster 821 Dark,18800,Schaltgetriebe,Benzin,Rot,2022-08-31,42449781,yes,Hinterradantrieb
16916,7390,Neuwertig ,500,2022,NA,Colove 500X Adventure,12,Schaltgetriebe,Benzin,NA,2022-09-05,36156314,yes,Kette
16918,13590,NA,NA,2022,MOTO GUZZI,V85TT 100TH CENTENARIO,10,Schaltgetriebe,Benzin,Grau,2022-03-03,42443979,yes,Hinterradantrieb
16919,10900,NA,NA,2022,SUZUKI,GSX-S 950 (35kW),200,Schaltgetriebe,Benzin,Blau,2022-08-25,42443956,yes,Hinterradantrieb
