listing_no,price_chf,condition,displacement,year,brand,model,mileage_km,transmission,fuel,colour,last_edited,id,mfk,drive
12720,8500,Geringe Gebrauchsspuren ,800,2015,HONDA,VFR 800 X Crossrunner ABS,11000,Schaltgetriebe,Benzin,Weiss,2022-08-18,43703905,yes,Hinterradantrieb
12721,3700,Neuwertig ,600,2010,KAWASAKI,Er-6f,20000,NA,NA,Grün,2022-08-24,43703716,no,Kette
12722,19500,Neuwertig ,1100,2005,HARLEY-DAVIDSON,VROD VRSCA,20900,Schaltgetriebe,Benzin,Schwarz,2022-08-29,43703579,no,Riemen / Zahnriemen
12723,9900,Neuwertig ,1300,2015,KTM,Superduke R,16500,Schaltgetriebe,Benzin,Orange,2022-08-30,43549801,yes,NA
12724,5300,Neuwertig ,1200,2015,SUZUKI,NA,2200,NA,NA,NA,2022-08-24,43675513,no,NA
12725,25900,NA,NA,2016,DUCATI,Panigale 1199 R ABS,5,Schaltgetriebe,Benzin,Rot,2022-06-03,43702041,no,Hinterradantrieb
12726,18900,NA,NA,2016,HARLEY-DAVIDSON,FXSB Breakout 103 ABS,21800,Schaltgetriebe,Benzin,Grau,2022-06-03,43702029,no,Hinterradantrieb
12727,15900,NA,NA,2013,HARLEY-DAVIDSON,FLSTN,13200,NA,Benzin,Schwarz,2022-06-03,43702028,no,NA
12728,9400,NA,NA,2017,YAMAHA,Tracer 900,16200,NA,Benzin,Blau,2022-06-03,43702027,no,NA
12729,8900,NA,NA,2017,YAMAHA,Tracer 900,16200,NA,Benzin,Blau,2022-06-03,43702026,no,NA
12730,7690,NA,NA,2022,HONDA,CB 500 F,1,Schaltgetriebe,Benzin,Grau,2022-09-02,43702017,yes,Hinterradantrieb
12731,5690,NA,NA,2022,BENELLI,Imperiale 400,1,Schaltgetriebe,Benzin,Schwarz,2022-06-03,43702015,yes,Hinterradantrieb
12732,23999,NA,NA,2022,TRIUMPH,Tiger 1200 Rally Explorer,690,Schaltgetriebe,Benzin,Grün,2022-07-06,43702014,yes,Hinterradantrieb
12733,12490,NA,NA,2014,TRIUMPH,Thunderbird LT ABS,25500,Schaltgetriebe,Benzin,Rot,2022-08-05,43702013,no,Hinterradantrieb
12734,4800,NA,NA,2021,NA,V310,2550,NA,NA,Gelb,2022-06-03,43702007,yes,NA
12735,15400,NA,NA,2017,KAWASAKI,Ninja ZX-10R ABS,16900,Schaltgetriebe,Benzin,Grün,2022-06-03,43702005,yes,Hinterradantrieb
12736,4500,NA,NA,1997,TRIUMPH,Daytona 950 T595,14600,Schaltgetriebe,Benzin,Schwarz,2022-06-03,43701992,no,Hinterradantrieb
12737,13500,NA,NA,2005,HARLEY-DAVIDSON,FLSTSCI Springer Classic,49650,Schaltgetriebe,Benzin,Schwarz,2022-06-03,43701987,yes,Hinterradantrieb
12738,25960,NA,NA,2022,NA,SR/S Premium,1,NA,Elektrisch (Plug-in),Weiss,2022-06-03,43701985,yes,NA
12739,8990,NA,NA,2022,BENELLI,Leoncino 800,10,Schaltgetriebe,Benzin,Grau,2022-06-03,43701984,yes,Hinterradantrieb
12740,9290,NA,NA,2022,BENELLI,Leoncino 800 T,10,Schaltgetriebe,Benzin,Grün,2022-06-03,43701983,yes,Hinterradantrieb
12741,21990,NA,NA,2022,KTM,1290 Super Adventure R,1,Schaltgetriebe,Benzin,Blau,2022-06-03,43701981,yes,Hinterradantrieb
12742,25210,NA,NA,2022,NA,SR F Premium,1,Automatik,Elektrisch (Plug-in),Rot,2022-06-03,43701980,yes,Hinterradantrieb
12743,24750,NA,NA,2022,TRIUMPH,Tiger 1200 Rally Explorer,1,Schaltgetriebe,Benzin,Grün,2022-08-05,43701971,yes,Hinterradantrieb
12744,11990,NA,NA,2022,YAMAHA,XSR 900,1,Schaltgetriebe,Benzin,Schwarz,2022-06-04,43701970,yes,Hinterradantrieb
12745,11990,NA,NA,2022,YAMAHA,XSR 900,1,Schaltgetriebe,Benzin,Blau,2022-06-04,43701968,yes,Hinterradantrieb
12746,8490,NA,NA,2014,BMW,S 1000 R ABS,31000,Schaltgetriebe,Benzin,Blau,2022-06-03,43701967,no,Hinterradantrieb
12747,6900,NA,NA,2021,BENELLI,BN 600 I,1900,NA,Benzin,Grün,2022-06-14,43701962,yes,NA
12748,6900,NA,NA,2009,TRIUMPH,Street Trip. 675,22000,NA,Benzin,Grau,2022-06-03,43701960,no,NA
12749,6900,NA,NA,1998,YAMAHA,XVZ 1300A,18000,NA,Benzin,Grün,2022-06-03,43701951,no,NA
12750,4900,NA,NA,2001,BMW,R 1150 R,40000,NA,Benzin,Grau,2022-06-03,43701946,no,NA
12751,5990,NA,NA,2022,BETA,RR 125-4T LC Enduro,6,Schaltgetriebe,Benzin,Weiss,2022-06-03,43701944,yes,Hinterradantrieb
12752,5990,NA,NA,2014,TRIUMPH,Bonneville,25859,Schaltgetriebe,NA,Schwarz,2022-08-30,43701941,no,NA
12753,12990,NA,NA,2017,KTM,1290 Super Duke R,22980,Schaltgetriebe,Benzin,Schwarz,2022-06-03,43701929,no,Hinterradantrieb
12754,3250,NA,NA,2022,Brixton,Cromwell 125,1,Schaltgetriebe,Benzin,Schwarz,2022-08-05,43701928,yes,Hinterradantrieb
12755,26990,NA,NA,2020,HONDA,CBR 1000 RR-R SP,165,Schaltgetriebe,Benzin,Grün,2022-08-21,43701921,yes,Hinterradantrieb
12756,8190,NA,NA,2022,YAMAHA,MT-07,1,Schaltgetriebe,Benzin,Blau,2022-06-03,43701919,yes,Hinterradantrieb
12757,9290,NA,NA,2022,BENELLI,Leoncino 800 T,2,Schaltgetriebe,Benzin,Grün,2022-06-03,43701909,yes,Hinterradantrieb
12758,2990,NA,NA,2005,KAWASAKI,ER-5,26000,Schaltgetriebe,Benzin,Blau,2022-06-03,43701908,no,Hinterradantrieb
12759,5500,NA,NA,1990,SUZUKI,LS 650 P Savage 4-speed,14750,Schaltgetriebe,Benzin,Blau,2022-06-03,43701906,no,Hinterradantrieb
12760,3190,NA,NA,2012,HONDA,CBR 250 RA,19000,Schaltgetriebe,Benzin,Mehrfarbig,2022-06-03,43701902,no,Hinterradantrieb
12761,22900,NA,NA,2022,TRIUMPH,Tiger 1200 Rally Pro,1,Schaltgetriebe,Benzin,Schwarz,2022-06-03,43701899,yes,Hinterradantrieb
12762,10090,NA,NA,2022,TRIUMPH,Tiger Sport 660,1,NA,Benzin,Grau,2022-06-03,43701895,yes,NA
12763,29180,NA,NA,2022,BMW,R 1250 RT,11,Schaltgetriebe,Benzin,Blau,2022-06-03,43701874,yes,Hinterradantrieb
12764,13850,NA,NA,2021,BMW,R nine T Pure,2933,Schaltgetriebe,Benzin,Blau,2022-06-03,43701869,yes,Hinterradantrieb
12765,12490,NA,NA,2022,YAMAHA,MT-09 SP,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-09,43701845,yes,Hinterradantrieb
12766,5495,NA,NA,2022,SUZUKI,GSX-R 125 L7,3,Schaltgetriebe,Benzin,Silber,2022-06-03,43701840,yes,Hinterradantrieb
12767,13290,NA,NA,2022,KTM,EXC -F 350 Six Days,1,Schaltgetriebe,NA,Orange,2022-06-03,43701839,yes,Hinterradantrieb
12768,6500,Geringe Gebrauchsspuren ,900,2008,TRIUMPH,Bonneville T 100,24000,Schaltgetriebe,Benzin,Schwarz,2022-09-01,43693712,no,Hinterradantrieb
12771,3500,Geringe Gebrauchsspuren ,600,1991,KTM,Gs 600 Lc4,38000,Schaltgetriebe,Benzin,Orange,2022-09-02,43690579,no,Hinterradantrieb
12772,8900,Neuwertig ,900,2014,HARLEY-DAVIDSON,Iron 883,12300,Schaltgetriebe,Benzin,Schwarz,2022-08-30,43501874,no,NA
12773,6500,Neuwertig ,1000,2016,KAWASAKI,Z1000,26650,Schaltgetriebe,Benzin,Rot,2022-08-18,42717566,yes,NA
12774,4500,NA,NA,2014,SUZUKI,SFV 650 Gladius ABS (25kW),10000,Schaltgetriebe,Benzin,Blau,2022-06-02,43688195,yes,Hinterradantrieb
12775,4190,NA,NA,2022,BENELLI,Leoncino 125,1,Schaltgetriebe,Benzin,Weiss,2022-06-03,43688194,yes,Hinterradantrieb
12776,11990,NA,NA,2022,YAMAHA,XSR 900 ABS,1,NA,Benzin,Schwarz,2022-06-02,43688177,yes,NA
12777,11990,NA,NA,2022,YAMAHA,XSR 900 ABS,1200,NA,Benzin,Schwarz,2022-08-20,43688176,yes,NA
12778,11990,NA,NA,2022,YAMAHA,XSR 900 ABS,1,NA,Benzin,Blau,2022-07-07,43688175,yes,NA
12779,17995,NA,NA,2022,SUZUKI,GSX-S 1000 GT Travel,1,NA,Benzin,Blau,2022-06-02,43688173,yes,NA
12780,17995,NA,NA,2022,SUZUKI,GSX-S 1000 GT Travel,1,NA,Benzin,Schwarz,2022-06-02,43688172,yes,NA
12781,16495,NA,NA,2022,SUZUKI,GSX-S 1000 GT,1,NA,Benzin,Blau,2022-06-02,43688171,yes,NA
12782,9490,NA,NA,2020,YAMAHA,MT-09 SP ABS,17650,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-07,43688167,yes,Hinterradantrieb
12783,2690,NA,NA,2003,YAMAHA,FZS 600 Fazer,35871,Schaltgetriebe,Benzin,Blau,2022-08-05,43688165,yes,Hinterradantrieb
12784,7590,NA,NA,2007,KAWASAKI,Ninja ZX-6R (25kW),46824,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688163,yes,Hinterradantrieb
12785,8990,NA,NA,2019,SMC (SM),DA MBX 850 EFI EPS 4x4,450,Automatik,Benzin,Weiss,2022-07-02,43688161,no,Hinterradantrieb
12786,8300,NA,NA,2022,KAWASAKI,Z 650 RS,1000,Schaltgetriebe,Benzin,Grau,2022-07-13,43688158,yes,Hinterradantrieb
12787,9985,NA,NA,2013,TRIUMPH,Thunderbird 1600 ABS,27700,Schaltgetriebe,Benzin,Schwarz,2022-08-05,43688133,no,Hinterradantrieb
12788,23250,NA,NA,2022,HARLEY-DAVIDSON,FXFBS Fat Bob 114,10,Schaltgetriebe,Benzin,Weiss,2022-06-02,43688132,yes,Hinterradantrieb
12789,6900,NA,NA,2007,TRIUMPH,Speedmaster 900,16400,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688128,yes,Hinterradantrieb
12790,5185,NA,NA,2007,SUZUKI,SV 1000 K4,19500,Schaltgetriebe,Benzin,Rot,2022-08-05,43688120,no,Hinterradantrieb
12791,3990,NA,NA,2016,KTM,Duke 690 ABS,45000,NA,Benzin,Weiss,2022-06-02,43688111,yes,NA
12792,9290,NA,NA,2022,BENELLI,Leoncino 800 T,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-06-02,43688106,yes,Hinterradantrieb
12793,11995,NA,NA,2022,SUZUKI,GSX S950U (35KW),933,Schaltgetriebe,Benzin,Schwarz,2022-08-05,43688105,yes,Hinterradantrieb
12794,10890,NA,NA,2022,KAWASAKI,Z900 35KW,1000,Schaltgetriebe,Benzin,Schwarz,2022-06-23,43688104,yes,Hinterradantrieb
12795,2990,NA,NA,2022,Brixton,Cromwell 125,8,Schaltgetriebe,Benzin,Schwarz,2022-08-25,43688102,yes,Hinterradantrieb
12796,7990,NA,NA,2022,CF MOTO,650 MT,8,Schaltgetriebe,Benzin,Blau,2022-06-02,43688099,yes,Hinterradantrieb
12797,10750,NA,NA,2011,HARLEY-DAVIDSON,FXDWGI Dyna Wide Glide,28000,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688088,yes,Hinterradantrieb
12798,22790,NA,NA,2022,KTM,1290 Super Duke R EVO,8,Schaltgetriebe,Benzin,Schwarz,2022-06-10,43688085,yes,Hinterradantrieb
12799,14690,NA,NA,2022,KTM,890 Adventure,8,Schaltgetriebe,Benzin,Orange,2022-08-05,43688083,yes,Hinterradantrieb
12800,9500,NA,NA,2018,YAMAHA,XSR 900,10290,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688082,no,Hinterradantrieb
12801,5890,NA,NA,2022,YAMAHA,MT-125,1,NA,NA,Blau,2022-06-02,43688079,yes,NA
12802,2500,NA,NA,2004,HONDA,CB 600 F Hornet,36310,Schaltgetriebe,Benzin,Weiss,2022-06-02,43688066,no,Hinterradantrieb
12803,6990,NA,NA,2021,Brixton,Crossfire 500,950,Schaltgetriebe,Benzin,Grau,2022-06-02,43688057,yes,Hinterradantrieb
12804,8990,NA,NA,2022,CF MOTO,700 CL-X Heritage,8,Schaltgetriebe,Benzin,Grau,2022-06-02,43688056,yes,Hinterradantrieb
12805,8990,NA,NA,2022,CF MOTO,700 CL-X Heritage,8,Schaltgetriebe,Benzin,Blau,2022-06-02,43688054,yes,Hinterradantrieb
12806,7690,NA,NA,2022,HONDA,CB 500 F,1,Schaltgetriebe,Benzin,Schwarz,2022-08-05,43688052,yes,Hinterradantrieb
12807,30220,NA,NA,2022,HARLEY-DAVIDSON,FLHRXS Road King Special 114,20,Schaltgetriebe,Benzin,Bordeaux,2022-06-02,43688051,yes,Hinterradantrieb
12808,11990,NA,NA,2022,YAMAHA,XSR 900 Modell 2022,5,Schaltgetriebe,Benzin,Blau,2022-06-02,43688050,yes,Hinterradantrieb
12809,15500,NA,NA,2017,MOTO GUZZI,MGX 21 1400 ABS,20200,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688048,no,Hinterradantrieb
12810,4900,NA,NA,1997,KTM,620 Duke E,12000,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688046,no,Hinterradantrieb
12811,16790,NA,NA,2004,HARLEY-DAVIDSON,FLHTCI 1450 Electra Glide Classic,9593,Schaltgetriebe,Benzin,Grün,2022-06-02,43688043,no,Hinterradantrieb
12812,16990,NA,NA,2022,TRIUMPH,Tiger 900,10,Schaltgetriebe,Benzin,Blau,2022-08-05,43688042,yes,Hinterradantrieb
12813,22790,NA,NA,2022,KTM,1290 Super Duke R Evo,10,Schaltgetriebe,Benzin,Schwarz,2022-08-26,43688041,yes,Hinterradantrieb
12814,11700,NA,NA,2021,BMW,F 900 R,2357,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688040,yes,Hinterradantrieb
12815,19080,NA,NA,2022,BMW,S 1000 R,10,Schaltgetriebe,Benzin,Grau,2022-06-16,43688038,yes,Hinterradantrieb
12816,5900,NA,NA,2008,KAWASAKI,1400 GTR ABS,49000,Schaltgetriebe,Benzin,Schwarz,2022-06-02,43688037,no,Hinterradantrieb
12817,7900,NA,NA,2009,DUCATI,Streetfighter 1099,38300,Schaltgetriebe,Benzin,Rot,2022-06-02,43688030,yes,Hinterradantrieb
12818,6990,NA,NA,2018,HONDA,CB 650 F ABS,26000,Schaltgetriebe,Benzin,Schwarz,2022-07-13,43688027,yes,Hinterradantrieb
12819,6580,NA,NA,2014,KAWASAKI,Z 800 ABS,33400,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-31,43688025,no,Hinterradantrieb
12820,7690,NA,NA,2022,HONDA,CB 500 F,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-05,43688022,yes,Hinterradantrieb
12821,6490,NA,NA,2022,HUSQVARNA,Vitpilen 401,1,Schaltgetriebe,Benzin,Silber,2022-09-04,43688013,yes,Hinterradantrieb
12822,9590,NA,NA,2022,HONDA,CB 650 CB650RA,1,Schaltgetriebe,NA,Silber,2022-08-14,43688008,yes,Hinterradantrieb
12823,13000,Neuwertig ,1800,2017,TRIUMPH,Thunderbird LT ABS,12000,Schaltgetriebe,Benzin,Schwarz,2022-08-24,43680577,yes,NA
12824,5800,Neuwertig ,900,2011,MV AGUSTA,Brutale 920,12000,Schaltgetriebe,Benzin,Weiss,2022-08-30,43679838,no,Kette
12826,4000,Neuwertig ,1000,NA,HONDA,VTR 1000,67000,NA,Benzin,Weiss,2022-08-16,43678981,no,Kette
12828,2300,Geringe Gebrauchsspuren ,600,1990,YAMAHA,virago,27000,NA,NA,NA,2022-08-15,43595766,yes,NA
12829,3900,Geringe Gebrauchsspuren ,600,2013,HONDA,NC700SA,30000,NA,NA,NA,2022-08-16,43677847,yes,NA
12830,3500,Neuwertig ,80,2019,NA,Yz,120,NA,NA,NA,2022-09-02,43677208,no,NA
12832,5800,Neu ,500,2021,BENELLI,Leoncino,400,Schaltgetriebe,Benzin,Rot,2022-09-02,42587185,no,NA
12833,3595,NA,NA,2022,BENELLI,BN 125,1,Schaltgetriebe,Benzin,Weiss,2022-06-02,43675389,yes,Hinterradantrieb
12834,7990,NA,NA,2022,BENELLI,Leoncino 500,1,Schaltgetriebe,Benzin,Grün,2022-06-03,43675387,yes,Hinterradantrieb
12835,21990,NA,NA,2022,YAMAHA,YZF-R1 ABS,1,NA,Benzin,Schwarz,2022-06-01,43675384,yes,NA
12836,12990,NA,NA,2022,YAMAHA,MT-09 SP ABS,1,NA,Benzin,Silber,2022-06-29,43675383,yes,NA
12837,7990,NA,NA,2017,DUCATI,Scrambler 800 Classic ABS,10500,Schaltgetriebe,Benzin,Gelb,2022-06-01,43675374,no,Hinterradantrieb
12838,11500,NA,NA,2019,YAMAHA,XSR 900 Abarth,4500,Schaltgetriebe,Benzin,Grau,2022-06-01,43675372,yes,Hinterradantrieb
12839,3790,NA,NA,2022,HONDA,CBF 125 M,1,Schaltgetriebe,Benzin,Rot,2022-06-01,43675368,yes,Hinterradantrieb
12840,7090,NA,NA,2022,HUSQVARNA,SVARTPILEN 401,7,NA,Benzin,Schwarz,2022-06-01,43675363,yes,NA
12841,3990,NA,NA,2022,Brixton,Sunray 125,1,Schaltgetriebe,Benzin,Grau,2022-08-18,43675361,yes,Hinterradantrieb
12842,19990,NA,NA,2022,Indian,FTR 1200 S,1,Schaltgetriebe,Benzin,Braun,2022-06-01,43675358,yes,Hinterradantrieb
12843,5980,NA,NA,2022,FANTIC,NA,1,Schaltgetriebe,Benzin,Mehrfarbig,2022-06-01,43675356,yes,Hinterradantrieb
12844,12990,NA,NA,2021,TGB,Blade 1000 EFI LT EPS Touring 4x4 Facelift,5215,Automatik,Benzin,Schwarz,2022-07-06,43675355,yes,NA
12845,19990,NA,NA,2022,Indian,FTR 1200 S,1,Schaltgetriebe,Benzin,Weiss,2022-06-01,43675347,yes,Hinterradantrieb
12846,2200,NA,NA,1985,HONDA,CB 125 RS,17500,Schaltgetriebe,Benzin,Blau,2022-06-01,43675341,no,Hinterradantrieb
12847,21195,NA,NA,2022,APRILIA,Tuono V4 1100 Factory,1,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675340,yes,Hinterradantrieb
12848,5790,NA,NA,2007,KAWASAKI,Z 1000,16000,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675316,no,Hinterradantrieb
12849,22900,NA,NA,2022,HARLEY-DAVIDSON,FXBRS Breakout 114,1400,Schaltgetriebe,Benzin,Grau,2022-08-26,43675314,yes,Hinterradantrieb
12850,9360,NA,NA,2022,TRIUMPH,Trident 660,1,Schaltgetriebe,Benzin,Silber,2022-06-01,43675310,yes,Hinterradantrieb
12851,9240,NA,NA,2022,TRIUMPH,Trident 660,1,Schaltgetriebe,Benzin,Weiss,2022-06-01,43675307,yes,Hinterradantrieb
12852,7250,NA,NA,2014,TRIUMPH,Street Triple 675 (25kW),22900,Schaltgetriebe,Benzin,Weiss,2022-06-01,43675304,yes,Hinterradantrieb
12853,6150,NA,NA,2009,TRIUMPH,Street Triple 675 (25kW),17650,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675303,yes,Hinterradantrieb
12854,6250,NA,NA,2008,TRIUMPH,Street Triple 675 (25kW),8250,Schaltgetriebe,Benzin,Grün,2022-06-01,43675302,yes,Hinterradantrieb
12855,6900,NA,NA,1984,YAMAHA,XS 650 SE,15108,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675299,yes,Hinterradantrieb
12856,5500,NA,NA,2016,YAMAHA,XJ 6 N ABS,12788,Schaltgetriebe,Benzin,Weiss,2022-08-31,43675295,yes,Hinterradantrieb
12857,5800,NA,NA,2013,HONDA,NC 700 S ABS,7870,Schaltgetriebe,Benzin,Schwarz,2022-08-28,43675289,yes,Hinterradantrieb
12858,7900,NA,NA,2019,KAWASAKI,Vulcan S ABS,3179,Schaltgetriebe,Benzin,Schwarz,2022-08-28,43675288,no,Hinterradantrieb
12859,15490,NA,NA,2020,YAMAHA,YZF-R6,10,Schaltgetriebe,Benzin,Blau,2022-08-26,43675284,yes,Hinterradantrieb
12860,11200,NA,NA,2020,SUZUKI,DL 1050  XT ABS,14000,Schaltgetriebe,Benzin,Gelb,2022-06-01,43675278,yes,Hinterradantrieb
12861,20800,NA,NA,2018,CAN-AM,Outlander Max XT 650 4x4,2000,Automatik,Benzin,Schwarz,2022-06-01,43675267,yes,NA
12862,14200,NA,NA,2018,SUZUKI,GSX-R 1000 ABS L7,7500,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675266,no,Hinterradantrieb
12863,11600,NA,NA,2022,MOTO GUZZI,V9 850 Bobber 100TH Centenario,1,Schaltgetriebe,Benzin,Grün,2022-06-01,43675260,yes,Hinterradantrieb
12864,23200,NA,NA,2021,CAN-AM,Outlander Max XU+ 570 4x4,200,Automatik,Benzin,Grün,2022-06-01,43675257,yes,NA
12865,14000,NA,NA,2012,HARLEY-DAVIDSON,XL 883 N Sportster Iron,8000,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675254,no,Hinterradantrieb
12866,7200,NA,NA,2017,MOTO GUZZI,V7 III Special 750 ABS,11500,Schaltgetriebe,Benzin,Blau,2022-06-01,43675252,no,Hinterradantrieb
12867,9400,NA,NA,2019,SUZUKI,GSX-S 1000F Sport Touring ABS,3100,Schaltgetriebe,Benzin,Grau,2022-09-02,43675250,no,Hinterradantrieb
12868,2999,NA,NA,1985,HONDA,VT 500 C Custom,51252,Schaltgetriebe,Benzin,Rot,2022-08-28,43675245,yes,Hinterradantrieb
12869,6690,NA,NA,2022,Royal Enfield,Himalayan,1,Schaltgetriebe,Benzin,Grau,2022-06-01,43675231,yes,Hinterradantrieb
12870,6690,NA,NA,2022,Royal Enfield,Himalayan,1,Schaltgetriebe,Benzin,Grau,2022-06-01,43675230,yes,Hinterradantrieb
12871,6890,NA,NA,2022,Royal Enfield,Himalayan,1,Schaltgetriebe,Benzin,Grau,2022-06-01,43675229,yes,Hinterradantrieb
12872,6890,NA,NA,2022,Royal Enfield,Himalayan,1,Schaltgetriebe,Benzin,Weiss,2022-06-01,43675226,yes,Hinterradantrieb
12873,3990,NA,NA,2013,YAMAHA,XJ6 Diversion 09,6953,NA,Benzin,Schwarz,2022-08-25,43675224,yes,NA
12874,6400,NA,NA,2006,TRIUMPH,Speed Triple 1050,44800,Schaltgetriebe,Benzin,Violet,2022-06-09,43675213,no,Hinterradantrieb
12875,6590,NA,NA,2022,YAMAHA,MT-03 ABS,1,NA,Benzin,Schwarz,2022-06-01,43675198,yes,NA
12876,8400,NA,NA,2019,YAMAHA,MT-09 ABS,2265,Schaltgetriebe,Benzin,Schwarz,2022-07-02,43675193,no,Hinterradantrieb
12877,22900,NA,NA,2012,BOOM-TRIKES,IT1800,11050,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675182,no,NA
12878,19900,NA,NA,2019,DUCATI,Diavel 1260 S,2750,Schaltgetriebe,Benzin,Grau,2022-06-01,43675176,no,Hinterradantrieb
12879,13750,NA,NA,2022,KAWASAKI,Z 900 (92/70/35 KW) *Green Goblin* Level 3 - Sofort Lieferbar,1,Schaltgetriebe,Benzin,Violet,2022-08-07,43675169,yes,Hinterradantrieb
12880,23900,NA,NA,2022,BMW,S 1000 RR,400,NA,Benzin,Schwarz,2022-08-05,43675157,yes,NA
12881,12140,NA,NA,2022,KAWASAKI,Z 900 (92/70/35 KW) Performance Level 3 - Sofort Lieferbar,1,Schaltgetriebe,Benzin,Grün,2022-08-07,43675140,yes,Hinterradantrieb
12882,11740,NA,NA,2022,KAWASAKI,Z 900 (92/70/35 KW) Performance Level 2 - Sofort Lieferbar,1,Schaltgetriebe,Benzin,Grün,2022-08-07,43675139,yes,Hinterradantrieb
12883,11640,NA,NA,2022,KAWASAKI,Z 900 (92/70/35 KW) Performance Level 1 - Sofort Lieferbar,1,Schaltgetriebe,Benzin,Grün,2022-08-07,43675138,yes,Hinterradantrieb
12884,11150,NA,NA,2022,KAWASAKI,Z 900 (92/70/35 KW) - Sofort Lieferbar,1,Schaltgetriebe,Benzin,Grün,2022-08-07,43675137,yes,Hinterradantrieb
12885,13950,NA,NA,2022,Mash,Side Force 400 CC,16,Schaltgetriebe,Benzin,Grün,2022-06-09,43675123,yes,Hinterradantrieb
12886,35900,NA,NA,2016,HARLEY-DAVIDSON,FLTRXS Road Glide Special ABS,18500,Schaltgetriebe,Benzin,Schwarz,2022-08-13,43675104,no,Hinterradantrieb
12887,34900,NA,NA,2014,HARLEY-DAVIDSON,FLHX Street Glide ABS,7900,Schaltgetriebe,Benzin,Mehrfarbig,2022-06-01,43675102,no,Hinterradantrieb
12888,12800,NA,NA,1952,AJS,20,15000,Schaltgetriebe,Benzin,Schwarz,2022-06-01,43675100,no,Hinterradantrieb
12889,12600,NA,NA,1933,NSU,175Z,10000,Schaltgetriebe,2-Takt-Gemisch,Rot,2022-06-01,43675098,no,NA
12890,6900,NA,NA,1949,TRIUMPH,TWN B125,5900,Schaltgetriebe,2-Takt-Gemisch,Schwarz,2022-06-01,43675097,no,Hinterradantrieb
12891,21900,NA,NA,2008,HARLEY-DAVIDSON,VRSCDX Night Rod Special ABS,8800,NA,Benzin,Schwarz,2022-06-01,43675096,no,Hinterradantrieb
12892,18800,NA,NA,2016,YAMAHA,MT-01,1,NA,Benzin,Silber,2022-06-01,43675095,no,Hinterradantrieb
12893,4900,Neuwertig ,600,2018,SUZUKI,SV 650,25000,Schaltgetriebe,Benzin,Rot,2022-09-02,42181641,yes,Kette
12894,16900,Geringe Gebrauchsspuren ,1800,2012,HARLEY-DAVIDSON,FLSTN Softail Deluxe,4500,Schaltgetriebe,Benzin,Schwarz,2022-08-18,43224095,no,NA
12895,5800,Neuwertig ,500,2013,HONDA,cbr500,4500,Schaltgetriebe,Benzin,Schwarz,2022-08-24,43598032,yes,Kette
12896,9900,Neuwertig ,900,2018,DUCATI,multistrada 950,23800,Schaltgetriebe,Benzin,Rot,2022-08-24,43597982,yes,Kette
12897,27000,Neuwertig ,1800,2018,HARLEY-DAVIDSON,Breakout,7980,Schaltgetriebe,Benzin,Schwarz,2022-08-30,42018232,yes,NA
12898,4200,Geringe Gebrauchsspuren ,600,2008,TRIUMPH,Street-Triple,22000,Schaltgetriebe,Benzin,Schwarz,2022-08-11,43597328,yes,Kette
12900,7900,Neuwertig ,600,2019,HONDA,Cb 650r,5500,Schaltgetriebe,Benzin,Schwarz,2022-08-31,43597126,no,NA
12901,5500,Neuwertig ,1000,2004,HONDA,CBR1000RR,36000,Schaltgetriebe,Benzin,Grau,2022-09-02,43595925,yes,Kette
12903,10900,Neuwertig ,1000,2012,BMW,S1000rr,24500,Schaltgetriebe,Benzin,Schwarz,2022-08-17,43594527,no,NA
12904,3600,Geringe Gebrauchsspuren ,900,2002,HONDA,cbr,63000,NA,Benzin,Gelb,2022-08-31,43594546,yes,NA
12905,2600,Geringe Gebrauchsspuren ,600,1999,HONDA,Dominator 650,50430,Schaltgetriebe,Benzin,Mehrfarbig,2022-08-23,43593110,yes,Kette
12906,4150,Neuwertig ,1000,2004,KAWASAKI,Zx 10R,24436,Schaltgetriebe,NA,NA,2022-08-27,42793209,no,NA
12907,35000,Neuwertig ,500,1950,NA,Comet Série C,1700,Schaltgetriebe,Benzin,Schwarz,2022-09-04,43511773,yes,Kette
12908,2000,Geringe Gebrauchsspuren ,600,2000,KAWASAKI,Zx6r,52000,Schaltgetriebe,Benzin,Grün,2022-08-15,43488119,no,Hinterradantrieb
